gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,associate's degree,free/reduced,completed,35,85,59
female,group E,associate's degree,standard,none,64,39,65
male,group D,some college,standard,none,82,56,57
male,group A,high school,standard,completed,61,39,63
male,group A,bachelor's degree,free/reduced,none,54,76,27
female,group E,some high school,standard,completed,98,23,69
female,group C,some high school,free/reduced,none,48,57,40
female,group E,master's degree,standard,none,18,93,60
female,group B,bachelor's degree,free/reduced,completed,57,59,86
male,group D,bachelor's degree,free/reduced,none,47,29,54
female,group B,bachelor's degree,standard,none,92,60,15
female,group C,bachelor's degree,free/reduced,none,65,17,46
female,group D,bachelor's degree,standard,none,34,81,49
female,group C,master's degree,standard,completed,35,43,88
female,group C,bachelor's degree,free/reduced,completed,96,97,70
male,group A,bachelor's degree,standard,none,61,54,55
female,group E,some high school,free/reduced,none,55,24,57
female,group C,high school,standard,none,43,76,81
female,group B,associate's degree,free/reduced,completed,23,88,63
female,group D,bachelor's degree,free/reduced,none,97,45,91
male,group E,high school,standard,none,86,45,41
male,group C,master's degree,standard,completed,66,68,33
male,group B,some college,standard,completed,0,28,45
female,group C,master's degree,standard,none,39,83,35
female,group E,high school,standard,none,43,31,41
female,group D,associate's degree,free/reduced,completed,96,80,88
female,group A,high school,free/reduced,none,34,46,99
male,group C,bachelor's degree,free/reduced,none,27,41,94
female,group E,master's degree,free/reduced,none,76,43,83
female,group B,associate's degree,standard,none,8,76,87
female,group D,bachelor's degree,standard,none,81,75,98
female,group B,associate's degree,standard,none,27,59,23
male,group B,master's degree,free/reduced,completed,53,44,36
male,group E,some college,standard,none,68,53,43
male,group C,bachelor's degree,free/reduced,completed,63,88,95
male,group B,high school,free/reduced,none,53,77,46
male,group E,bachelor's degree,standard,completed,39,65,80
female,group B,some college,free/reduced,none,82,82,10
male,group E,associate's degree,standard,none,43,99,58
female,group D,some high school,standard,completed,72,56,48
male,group E,associate's degree,standard,none,88,90,82
male,group B,bachelor's degree,free/reduced,none,64,59,53
male,group D,some college,free/reduced,completed,83,99,86
male,group B,some high school,standard,none,74,84,39
female,group D,master's degree,standard,completed,28,58,72
female,group D,master's degree,free/reduced,completed,78,53,76
female,group C,high school,standard,none,70,65,61
male,group D,some high school,standard,completed,50,83,45
female,group D,high school,standard,none,93,49,68
male,group D,bachelor's degree,standard,completed,50,80,60
male,group C,master's degree,standard,none,53,93,23
female,group C,master's degree,standard,none,53,45,65
male,group A,associate's degree,free/reduced,completed,54,32,57
male,group D,master's degree,standard,none,93,83,97
female,group D,master's degree,standard,none,32,99,69
female,group E,some college,free/reduced,none,29,53,59
male,group A,some high school,free/reduced,none,30,82,72
female,group E,some college,free/reduced,none,28,97,58
male,group E,master's degree,standard,none,87,53,15
female,group B,associate's degree,free/reduced,none,56,77,64
female,group B,associate's degree,standard,none,23,88,98
female,group D,high school,free/reduced,none,39,48,49
female,group D,high school,free/reduced,none,72,85,57
female,group B,master's degree,standard,completed,59,26,84
female,group A,master's degree,free/reduced,completed,63,24,59
male,group B,some college,standard,completed,34,39,33
female,group E,master's degree,standard,none,90,80,60
female,group B,bachelor's degree,free/reduced,completed,32,40,93
female,group D,bachelor's degree,standard,completed,39,51,40
male,group A,master's degree,standard,none,26,45,97
male,group C,some high school,standard,none,33,100,71
female,group E,bachelor's degree,standard,completed,97,52,56
female,group E,associate's degree,free/reduced,none,49,42,38
female,group C,high school,standard,none,24,100,97
female,group A,bachelor's degree,free/reduced,none,23,91,54
female,group E,master's degree,standard,completed,0,94,55
female,group C,some high school,standard,completed,47,29,35
female,group C,high school,standard,none,70,79,61
female,group C,bachelor's degree,free/reduced,none,58,62,84
female,group E,some high school,free/reduced,none,81,55,65
female,group C,associate's degree,standard,none,23,43,77
female,group B,associate's degree,standard,completed,19,34,69
female,group B,some high school,standard,completed,90,81,56
female,group E,master's degree,standard,completed,100,28,47
male,group D,some college,free/reduced,none,47,57,85
female,group B,bachelor's degree,standard,none,39,81,65
female,group D,master's degree,free/reduced,none,66,65,51
female,group E,some college,free/reduced,none,53,79,57
female,group C,associate's degree,standard,completed,51,76,77
female,group C,master's degree,free/reduced,completed,73,69,52
female,group E,bachelor's degree,standard,completed,41,61,68
female,group A,associate's degree,free/reduced,completed,95,32,80
male,group A,master's degree,free/reduced,completed,22,90,43
female,group C,some high school,standard,none,95,40,44
female,group D,associate's degree,standard,none,37,68,89
male,group C,high school,standard,completed,51,65,70
male,group D,bachelor's degree,standard,none,56,100,27
female,group B,bachelor's degree,free/reduced,none,65,86,98
male,group C,some high school,free/reduced,none,89,97,94
female,group D,high school,free/reduced,completed,74,76,68
female,group C,master's degree,free/reduced,none,30,62,19
female,group E,high school,standard,completed,77,31,33
female,group A,associate's degree,standard,completed,89,62,48
male,group C,high school,standard,none,65,70,98
female,group C,associate's degree,free/reduced,completed,72,63,41
female,group D,some college,standard,completed,0,86,82
female,group A,master's degree,standard,completed,47,24,48
female,group C,master's degree,free/reduced,none,88,41,98
male,group A,associate's degree,free/reduced,none,72,72,82
female,group E,associate's degree,standard,completed,52,51,86
female,group B,master's degree,standard,none,66,50,53
female,group D,associate's degree,free/reduced,none,36,76,71
female,group A,master's degree,free/reduced,completed,30,56,74
female,group D,high school,standard,completed,86,26,34
male,group E,some college,standard,none,38,44,88
female,group C,bachelor's degree,standard,completed,60,42,67
female,group D,bachelor's degree,standard,none,72,17,43
female,group D,high school,free/reduced,completed,36,100,71
male,group D,some high school,free/reduced,completed,67,42,49
female,group C,some high school,free/reduced,none,45,55,48
male,group E,associate's degree,standard,none,18,42,52
male,group B,associate's degree,standard,none,94,65,74
male,group E,some college,standard,none,47,69,72
female,group D,some high school,free/reduced,completed,76,80,88
female,group D,master's degree,free/reduced,none,24,74,41
female,group E,master's degree,standard,none,0,76,53
male,group C,master's degree,standard,none,54,54,77
male,group A,bachelor's degree,standard,none,72,100,59
female,group C,bachelor's degree,standard,completed,69,84,92
male,group E,some college,free/reduced,completed,96,32,83
female,group E,high school,standard,completed,87,79,66
female,group E,master's degree,standard,none,68,99,94
male,group D,master's degree,standard,none,62,82,37
female,group C,bachelor's degree,standard,none,43,34,62
male,group C,high school,standard,completed,73,70,78
male,group E,bachelor's degree,free/reduced,none,63,54,19
male,group E,high school,standard,completed,48,93,82
female,group B,high school,standard,none,66,91,78
female,group B,associate's degree,standard,completed,84,75,22
male,group C,associate's degree,free/reduced,none,35,57,46
female,group C,high school,free/reduced,none,60,38,34
female,group E,high school,free/reduced,none,91,79,84
male,group D,high school,standard,none,88,76,68
female,group E,bachelor's degree,free/reduced,completed,71,70,54
female,group D,high school,free/reduced,none,0,39,61
female,group D,some high school,free/reduced,completed,56,97,50
female,group A,master's degree,standard,none,52,72,62
female,group D,associate's degree,standard,none,54,74,23
female,group A,bachelor's degree,standard,none,66,48,65
male,group A,associate's degree,free/reduced,none,93,61,89
female,group E,master's degree,standard,none,64,71,78
female,group B,some high school,standard,completed,86,43,100
male,group B,master's degree,standard,completed,36,48,51
male,group C,master's degree,free/reduced,completed,53,31,58
female,group E,high school,free/reduced,completed,94,29,74
female,group A,some high school,standard,none,60,76,90
female,group B,some high school,free/reduced,none,88,56,100
female,group A,high school,free/reduced,none,51,67,36
male,group B,associate's degree,standard,none,33,97,44
male,group E,some high school,standard,none,96,88,80
female,group E,bachelor's degree,free/reduced,none,86,29,100
female,group E,some high school,free/reduced,completed,48,67,57
male,group E,some high school,standard,none,46,17,74
male,group A,master's degree,free/reduced,none,33,43,59
female,group E,some college,standard,none,47,41,72
male,group D,associate's degree,standard,completed,44,75,71
female,group E,associate's degree,standard,none,18,46,68
female,group C,some college,standard,none,51,66,81
male,group C,bachelor's degree,free/reduced,completed,72,45,82
female,group D,associate's degree,standard,none,77,59,53
male,group C,some college,free/reduced,completed,57,65,32
male,group D,master's degree,standard,completed,96,28,41
female,group C,master's degree,free/reduced,none,77,99,39
female,group C,high school,standard,none,29,75,94
male,group B,master's degree,standard,none,28,67,44
male,group A,associate's degree,free/reduced,completed,54,64,50
male,group B,master's degree,free/reduced,none,97,71,27
female,group D,bachelor's degree,standard,none,48,44,100
male,group D,some high school,standard,completed,66,65,94
male,group C,bachelor's degree,standard,none,76,40,43
male,group E,master's degree,standard,none,42,57,38
female,group C,master's degree,standard,none,69,46,58
female,group C,master's degree,free/reduced,completed,39,68,44
female,group D,master's degree,free/reduced,none,57,46,15
female,group A,master's degree,standard,completed,65,68,83
female,group E,some high school,standard,completed,95,17,58
female,group C,master's degree,free/reduced,completed,30,76,22
female,group D,associate's degree,standard,none,8,48,69
female,group A,high school,free/reduced,none,34,95,53
male,group D,master's degree,standard,none,54,34,43
male,group D,high school,free/reduced,none,81,85,92
female,group B,some high school,standard,none,32,34,74
male,group E,master's degree,standard,none,72,49,62
female,group E,master's degree,free/reduced,completed,54,52,49
female,group C,associate's degree,free/reduced,none,57,28,48
female,group D,bachelor's degree,standard,completed,83,54,66
female,group B,associate's degree,free/reduced,none,19,72,62
male,group D,bachelor's degree,free/reduced,none,66,47,79
female,group E,some high school,free/reduced,none,75,65,44
female,group A,some college,standard,none,69,85,56
female,group B,master's degree,free/reduced,completed,59,17,99
female,group D,master's degree,standard,completed,82,69,57
male,group A,some high school,standard,completed,81,79,69
female,group D,bachelor's degree,free/reduced,completed,48,60,91
male,group C,bachelor's degree,free/reduced,none,76,94,22
male,group B,master's degree,standard,none,63,61,27
male,group E,bachelor's degree,free/reduced,completed,71,57,48
male,group D,some college,standard,completed,47,43,37
male,group A,some college,standard,completed,40,50,62
female,group A,associate's degree,standard,none,28,81,88
female,group C,some high school,free/reduced,completed,39,52,81
male,group A,some high school,free/reduced,none,47,49,33
female,group A,bachelor's degree,standard,completed,94,62,90
female,group E,associate's degree,standard,none,39,45,94
female,group C,some high school,standard,none,66,95,23
female,group E,some college,standard,none,97,80,99
female,group B,some college,free/reduced,completed,37,45,91
female,group A,some college,standard,completed,75,78,38
female,group E,some college,free/reduced,completed,0,97,59
female,group D,master's degree,standard,none,56,76,40
male,group D,bachelor's degree,standard,none,75,45,51
male,group B,bachelor's degree,standard,none,68,83,85
female,group C,associate's degree,free/reduced,none,78,43,34
male,group E,some college,free/reduced,completed,90,41,99
female,group A,some college,standard,completed,57,53,44
female,group D,master's degree,standard,none,27,17,83
female,group A,master's degree,standard,completed,93,40,56
female,group A,bachelor's degree,free/reduced,completed,83,80,30
female,group C,master's degree,standard,completed,66,53,67
female,group E,bachelor's degree,standard,completed,70,100,76
female,group A,high school,standard,completed,71,44,81
male,group C,high school,standard,none,95,84,55
female,group E,some college,standard,none,8,17,97
male,group E,some college,standard,none,34,59,55
male,group E,high school,free/reduced,completed,80,48,46
male,group D,associate's degree,free/reduced,completed,48,34,89
male,group D,bachelor's degree,standard,none,40,100,70
male,group D,associate's degree,standard,none,67,87,27
female,group D,some college,standard,completed,37,60,65
female,group B,master's degree,free/reduced,completed,68,28,34
female,group A,bachelor's degree,standard,none,97,46,85
female,group D,some high school,free/reduced,completed,80,52,38
female,group C,master's degree,standard,completed,55,87,58
male,group A,some college,standard,completed,37,60,58
female,group A,associate's degree,free/reduced,completed,50,60,91
female,group A,associate's degree,free/reduced,none,19,72,73
female,group D,some college,free/reduced,none,27,34,69
female,group C,associate's degree,free/reduced,none,57,59,90
male,group E,some college,free/reduced,none,33,34,35
female,group D,some college,free/reduced,completed,92,43,82
female,group E,associate's degree,standard,completed,43,63,44
male,group C,master's degree,standard,none,64,24,50
female,group B,bachelor's degree,standard,completed,54,54,70
female,group B,bachelor's degree,standard,completed,38,32,92
female,group B,high school,free/reduced,completed,19,64,92
male,group D,associate's degree,free/reduced,completed,64,51,88
female,group B,some high school,standard,none,22,64,58
female,group E,high school,standard,none,67,37,92
male,group A,master's degree,standard,none,66,82,98
male,group B,master's degree,standard,none,43,73,34
male,group C,master's degree,standard,completed,86,23,77
female,group E,associate's degree,free/reduced,none,83,42,100
female,group E,some college,free/reduced,none,61,61,63
female,group B,some college,free/reduced,completed,65,90,55
female,group D,master's degree,free/reduced,none,88,50,45
male,group D,some high school,standard,completed,8,45,94
male,group A,master's degree,free/reduced,none,81,37,73
female,group D,master's degree,free/reduced,completed,75,67,22
female,group D,some college,standard,none,35,53,65
male,group D,master's degree,free/reduced,completed,74,80,15
male,group B,high school,standard,completed,18,87,100
male,group C,master's degree,free/reduced,completed,86,53,62
female,group B,some college,standard,none,69,55,98
female,group C,master's degree,standard,completed,82,17,71
female,group A,some high school,free/reduced,none,24,83,56
female,group C,bachelor's degree,free/reduced,completed,48,73,59
male,group E,some college,free/reduced,none,60,78,47
female,group C,master's degree,standard,completed,97,63,72
female,group B,some high school,standard,none,53,38,42
male,group B,master's degree,free/reduced,none,38,42,43
female,group E,bachelor's degree,standard,completed,28,76,34
male,group C,bachelor's degree,standard,completed,68,77,60
female,group E,associate's degree,free/reduced,none,43,43,23
female,group E,master's degree,standard,completed,70,46,72
female,group E,some high school,standard,none,65,29,81
male,group E,high school,standard,completed,32,69,46
male,group D,master's degree,standard,none,95,78,51
female,group A,high school,free/reduced,none,35,93,87
female,group C,master's degree,standard,none,71,76,41
male,group B,some high school,standard,completed,81,94,73
female,group B,some high school,free/reduced,none,62,85,78
female,group D,some high school,standard,none,100,85,46
female,group B,some high school,standard,completed,61,34,97
male,group D,high school,standard,completed,75,40,81
male,group D,some high school,standard,none,32,79,62
female,group C,associate's degree,standard,none,66,54,34
female,group B,some high school,standard,none,74,88,64
female,group C,bachelor's degree,free/reduced,none,57,60,67
female,group E,master's degree,standard,none,72,80,93
male,group A,bachelor's degree,standard,none,97,65,81
female,group D,high school,standard,none,29,37,53
male,group D,bachelor's degree,standard,none,50,46,62
male,group C,bachelor's degree,standard,completed,57,46,37
female,group E,master's degree,standard,completed,90,40,85
female,group C,some college,standard,none,75,73,57
male,group A,master's degree,standard,none,83,39,27
female,group D,high school,standard,completed,92,69,89
female,group E,master's degree,standard,none,50,26,69
female,group B,high school,standard,completed,66,53,89
male,group D,some college,standard,completed,53,95,92
female,group E,bachelor's degree,standard,completed,92,34,85
female,group B,master's degree,standard,completed,51,64,84
female,group C,master's degree,standard,completed,45,47,42
male,group E,master's degree,standard,none,50,85,93
female,group D,high school,free/reduced,none,50,44,23
female,group A,master's degree,standard,none,19,84,77
female,group E,some college,standard,none,82,100,69
female,group E,bachelor's degree,free/reduced,completed,28,62,45
female,group B,some college,standard,none,93,40,40
male,group D,high school,standard,completed,36,49,93
male,group E,bachelor's degree,free/reduced,completed,87,41,91
female,group A,master's degree,standard,completed,44,24,95
female,group C,master's degree,standard,completed,69,67,59
female,group E,some high school,standard,none,93,24,36
male,group A,some high school,free/reduced,none,90,60,49
male,group E,some college,standard,completed,76,50,23
female,group C,master's degree,standard,none,95,29,98
female,group D,high school,free/reduced,none,94,41,55
female,group D,some college,standard,none,88,97,51
female,group B,bachelor's degree,standard,completed,35,49,19
male,group D,some high school,standard,none,30,50,28
male,group A,high school,standard,none,73,97,78
female,group A,bachelor's degree,standard,none,44,88,23
male,group C,master's degree,standard,completed,65,32,77
male,group E,bachelor's degree,free/reduced,none,77,64,52
female,group C,some college,free/reduced,none,38,45,38
female,group B,bachelor's degree,standard,none,58,77,37
male,group C,high school,standard,none,72,75,52
male,group D,some high school,standard,none,88,72,54
male,group B,some high school,free/reduced,none,38,81,33
female,group E,high school,standard,none,83,93,42
female,group D,bachelor's degree,free/reduced,none,37,84,33
male,group E,some high school,free/reduced,none,97,79,52
female,group E,bachelor's degree,standard,completed,59,92,27
female,group A,high school,free/reduced,none,83,28,90
female,group E,master's degree,standard,completed,44,31,83
male,group E,master's degree,standard,completed,73,99,99
female,group E,master's degree,free/reduced,none,23,88,100
female,group C,bachelor's degree,standard,none,51,90,37
male,group D,master's degree,standard,none,27,74,28
male,group D,associate's degree,standard,none,47,61,99
female,group E,associate's degree,standard,none,8,87,19
male,group D,bachelor's degree,standard,none,54,54,62
male,group E,high school,free/reduced,none,57,74,85
male,group B,associate's degree,standard,none,22,88,19
female,group D,master's degree,free/reduced,none,77,39,32
male,group D,associate's degree,free/reduced,none,63,37,15
female,group E,associate's degree,free/reduced,completed,27,55,52
female,group B,master's degree,free/reduced,completed,56,89,34
male,group C,master's degree,free/reduced,completed,53,56,57
female,group E,master's degree,standard,completed,66,39,70
male,group D,high school,standard,completed,66,99,30
male,group E,master's degree,free/reduced,none,30,66,82
male,group E,bachelor's degree,free/reduced,none,91,55,86
male,group D,high school,free/reduced,completed,70,24,34
male,group B,bachelor's degree,standard,none,56,62,76
female,group A,bachelor's degree,free/reduced,completed,44,60,53
male,group C,bachelor's degree,standard,none,22,38,66
male,group A,bachelor's degree,standard,none,97,89,45
male,group A,bachelor's degree,free/reduced,none,98,64,94
male,group D,high school,standard,none,65,89,99
male,group C,associate's degree,standard,none,79,46,54
female,group A,bachelor's degree,free/reduced,completed,39,74,88
female,group D,bachelor's degree,standard,completed,37,43,86
female,group B,some college,standard,none,55,93,43
female,group E,associate's degree,standard,none,0,91,22
female,group C,master's degree,standard,completed,76,67,69
female,group B,bachelor's degree,free/reduced,completed,22,54,19
male,group E,some high school,standard,none,72,44,15
female,group A,bachelor's degree,free/reduced,none,75,49,85
male,group D,master's degree,standard,none,88,60,70
female,group C,some college,standard,completed,94,89,70
female,group C,master's degree,free/reduced,completed,49,60,64
female,group A,some college,standard,completed,93,43,37
male,group C,high school,standard,none,94,64,71
male,group A,master's degree,free/reduced,none,74,75,94
female,group A,associate's degree,free/reduced,none,77,44,32
female,group D,bachelor's degree,free/reduced,none,53,48,15
female,group E,some high school,standard,completed,85,44,45
male,group B,associate's degree,standard,completed,34,46,58
male,group D,master's degree,standard,none,94,80,100
male,group C,bachelor's degree,free/reduced,completed,57,24,52
female,group E,associate's degree,standard,none,71,32,49
male,group B,associate's degree,standard,none,28,54,38
male,group E,bachelor's degree,free/reduced,completed,30,90,55
male,group B,master's degree,standard,completed,28,45,23
female,group E,some college,standard,none,59,82,82
male,group A,some high school,free/reduced,none,45,97,45
male,group E,some college,free/reduced,completed,27,51,86
male,group B,master's degree,standard,none,88,76,93
female,group E,bachelor's degree,free/reduced,completed,87,84,79
male,group D,associate's degree,standard,none,93,23,86
female,group B,bachelor's degree,standard,none,84,41,54
male,group A,high school,standard,none,33,76,98
male,group E,some college,standard,none,26,46,47
male,group E,master's degree,standard,none,23,48,33
female,group A,high school,free/reduced,completed,49,80,89
male,group C,master's degree,standard,none,76,87,74
female,group B,bachelor's degree,standard,completed,57,49,62
female,group D,master's degree,free/reduced,none,48,40,94
female,group C,bachelor's degree,standard,none,46,40,60
male,group C,high school,free/reduced,none,42,31,80
male,group E,bachelor's degree,standard,none,19,23,86
male,group D,high school,free/reduced,none,47,53,52
female,group C,associate's degree,standard,completed,96,24,34
female,group E,bachelor's degree,standard,none,48,79,45
female,group E,some college,standard,completed,36,24,34
male,group D,some high school,standard,none,81,50,40
male,group C,master's degree,free/reduced,completed,75,88,92
female,group D,master's degree,free/reduced,completed,80,48,81
male,group C,bachelor's degree,free/reduced,completed,57,46,37
female,group E,associate's degree,standard,none,24,76,97
male,group B,high school,free/reduced,none,38,85,100
female,group D,master's degree,free/reduced,none,90,72,45
female,group E,high school,standard,none,32,88,37
male,group B,associate's degree,standard,completed,71,97,76
female,group D,master's degree,free/reduced,none,51,54,92
female,group B,some high school,standard,completed,43,63,81
male,group C,bachelor's degree,standard,none,34,28,94
male,group A,some high school,free/reduced,completed,55,57,67
male,group B,some high school,standard,completed,44,56,37
female,group C,some high school,free/reduced,none,30,86,88
male,group B,some high school,free/reduced,completed,33,62,40
female,group C,some high school,standard,none,82,54,97
male,group C,some college,free/reduced,completed,72,55,79
female,group C,some high school,standard,completed,99,55,37
female,group E,master's degree,standard,none,77,32,34
female,group B,associate's degree,standard,completed,22,65,89
female,group D,master's degree,standard,completed,55,72,64
male,group E,some high school,free/reduced,none,47,17,76
male,group A,master's degree,free/reduced,completed,33,55,71
male,group D,some high school,standard,none,28,40,93
female,group B,high school,free/reduced,none,8,47,82
male,group E,some college,standard,completed,50,66,93
female,group D,bachelor's degree,free/reduced,none,70,87,50
female,group E,bachelor's degree,standard,completed,82,83,54
female,group D,some high school,free/reduced,none,71,48,92
female,group D,associate's degree,standard,none,37,65,44
female,group E,master's degree,free/reduced,completed,30,61,73
female,group B,some high school,standard,completed,30,32,36
male,group B,associate's degree,standard,none,65,47,19
male,group D,some high school,standard,none,77,45,34
female,group E,master's degree,standard,completed,57,96,47
male,group A,high school,free/reduced,none,48,75,56
female,group A,bachelor's degree,standard,none,35,90,81
male,group A,associate's degree,free/reduced,none,39,62,77
male,group D,high school,free/reduced,none,88,17,60
male,group E,associate's degree,standard,completed,34,23,69
female,group C,high school,free/reduced,completed,29,43,23
female,group B,some college,standard,none,77,84,99
female,group C,high school,standard,none,100,32,67
female,group C,some high school,free/reduced,completed,26,93,78
male,group A,some college,free/reduced,none,77,77,42
male,group E,bachelor's degree,standard,none,97,29,53
female,group C,associate's degree,free/reduced,none,37,60,68
male,group B,master's degree,standard,none,27,95,53
male,group D,master's degree,standard,completed,24,52,73
male,group D,bachelor's degree,free/reduced,completed,64,88,40
female,group C,high school,standard,none,39,59,66
female,group E,high school,standard,none,53,38,23
female,group A,some high school,standard,completed,45,45,73
female,group E,master's degree,free/reduced,none,83,69,95
male,group A,bachelor's degree,standard,none,72,100,71
female,group C,master's degree,standard,completed,73,79,48
female,group E,associate's degree,free/reduced,completed,34,73,91
female,group E,some high school,free/reduced,completed,30,95,91
female,group D,some high school,free/reduced,none,76,91,98
female,group D,some high school,standard,completed,67,90,76
male,group D,master's degree,standard,none,87,69,80
male,group B,bachelor's degree,standard,none,88,55,87
male,group E,master's degree,standard,none,54,41,83
male,group D,high school,standard,completed,69,95,44
female,group D,master's degree,standard,completed,55,82,69
male,group E,some college,standard,none,62,32,63
male,group E,some college,standard,completed,99,84,60
female,group C,some high school,free/reduced,none,42,23,78
female,group B,master's degree,standard,completed,75,83,63
male,group D,associate's degree,free/reduced,none,49,85,10
male,group C,bachelor's degree,standard,completed,55,68,37
male,group C,master's degree,standard,none,99,32,51
female,group E,master's degree,standard,completed,93,59,52
male,group B,high school,standard,completed,76,50,48
male,group A,master's degree,standard,none,95,40,89
female,group C,associate's degree,free/reduced,completed,29,72,78
female,group E,some college,free/reduced,completed,88,97,32
male,group D,master's degree,standard,none,27,54,81
female,group D,associate's degree,standard,none,30,97,93
male,group E,high school,standard,none,43,24,51
male,group D,bachelor's degree,free/reduced,completed,65,76,78
male,group D,bachelor's degree,standard,none,19,34,98
male,group D,bachelor's degree,free/reduced,none,72,40,23
female,group E,master's degree,free/reduced,completed,61,38,36
female,group D,associate's degree,free/reduced,none,45,40,79
female,group C,master's degree,standard,none,42,44,63
female,group B,some high school,standard,completed,54,43,92
female,group C,some high school,free/reduced,none,89,97,62
female,group B,bachelor's degree,standard,none,100,71,98
male,group E,some college,free/reduced,none,89,44,46
female,group E,bachelor's degree,free/reduced,completed,80,54,94
female,group E,some college,standard,none,43,63,58
male,group E,some college,free/reduced,none,35,78,81
male,group B,associate's degree,standard,none,32,80,49
male,group C,bachelor's degree,standard,none,23,74,22
male,group C,bachelor's degree,standard,none,35,53,15
female,group E,master's degree,standard,completed,30,81,63
female,group E,some high school,standard,completed,34,37,94
female,group D,high school,free/reduced,completed,72,32,100
female,group A,associate's degree,standard,none,35,32,49
female,group E,master's degree,standard,none,42,69,77
male,group B,some high school,standard,none,27,24,76
male,group D,bachelor's degree,standard,completed,71,32,77
female,group D,master's degree,free/reduced,completed,24,83,100
female,group E,some college,standard,none,95,54,34
male,group B,master's degree,free/reduced,none,83,64,63
female,group D,some high school,free/reduced,none,86,80,100
female,group C,bachelor's degree,free/reduced,none,68,73,60
female,group D,associate's degree,free/reduced,none,39,67,79
male,group A,high school,free/reduced,completed,27,54,62
female,group B,high school,free/reduced,none,93,74,71
female,group E,high school,free/reduced,completed,60,95,99
female,group D,associate's degree,standard,none,40,28,100
female,group E,some college,free/reduced,completed,61,86,42
male,group D,high school,free/reduced,completed,62,67,52
male,group D,high school,free/reduced,none,46,45,23
male,group E,some high school,standard,completed,71,78,86
female,group E,some college,standard,none,100,88,66
male,group A,associate's degree,standard,completed,19,32,85
male,group E,master's degree,standard,none,57,97,88
female,group C,some college,standard,completed,35,57,51
male,group D,high school,free/reduced,completed,72,100,54
female,group B,associate's degree,standard,completed,56,59,96
male,group D,some college,standard,none,50,62,54
male,group B,master's degree,standard,completed,42,78,60
male,group A,high school,standard,none,71,83,10
male,group C,associate's degree,free/reduced,none,41,43,79
female,group B,master's degree,standard,none,83,91,51
male,group C,some college,free/reduced,none,33,55,84
female,group C,bachelor's degree,standard,none,8,29,93
female,group E,some college,standard,none,57,45,37
female,group B,associate's degree,standard,none,57,75,95
female,group C,bachelor's degree,free/reduced,completed,80,79,75
female,group D,master's degree,free/reduced,none,100,53,30
male,group E,some college,standard,none,59,51,59
male,group C,master's degree,free/reduced,completed,53,78,87
female,group B,master's degree,free/reduced,none,29,40,61
female,group C,bachelor's degree,free/reduced,none,88,53,72
female,group A,master's degree,standard,none,95,50,36
male,group C,bachelor's degree,standard,completed,67,86,80
female,group E,master's degree,standard,none,51,81,95
female,group D,some high school,free/reduced,completed,52,43,94
male,group E,some high school,standard,none,19,23,78
female,group C,associate's degree,free/reduced,completed,39,66,86
male,group E,master's degree,free/reduced,completed,69,65,64
female,group E,bachelor's degree,free/reduced,completed,53,88,54
female,group B,bachelor's degree,standard,completed,81,54,23
male,group E,associate's degree,standard,none,64,40,95
