code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
GGG,2013J,643208,M,Ireland,HE Qualification,N/A,35-55,0,310,Y,Fail
BBB,2013J,514504,M,West Midlands Region,Lower Than A Level,60-70%,55<=,1,300,N,Withdrawn
FFF,2014B,651602,F,London Region,A Level or Equivalent,0-10%,0-35,0,240,N,Pass
FFF,2014J,566603,M,East Midlands Region,No Formal quals,60-70%,0-35,6,420,N,Pass
GGG,2014J,620536,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,2,155,N,Withdrawn
BBB,2014J,368876,M,Ireland,A Level or Equivalent,80-90%,0-35,0,210,Y,Distinction
GGG,2014J,2345438,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,6,655,N,Pass
GGG,2013J,534709,F,London Region,Lower Than A Level,40-50%,35-55,5,90,N,Fail
DDD,2014J,245987,M,East Midlands Region,Lower Than A Level,70-80%,0-35,6,235,N,Withdrawn
BBB,2014J,680872,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,2,110,N,Fail
BBB,2014J,618957,M,Wales,No Formal quals,80-90%,55<=,0,105,N,Withdrawn
CCC,2013J,674643,M,East Midlands Region,A Level or Equivalent,80-90%,35-55,2,60,N,Withdrawn
FFF,2014B,525543,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,3,160,Y,Pass
CCC,2014B,548296,M,South East Region,A Level or Equivalent,N/A,55<=,3,255,N,Withdrawn
DDD,2013J,555695,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,255,N,Fail
BBB,2013J,493725,M,Scotland,HE Qualification,80-90%,55<=,6,45,Y,Withdrawn
FFF,2013J,697482,F,Scotland,A Level or Equivalent,70-80%,0-35,0,220,N,Pass
BBB,2014B,2211630,F,London Region,No Formal quals,70-80%,0-35,4,540,N,Pass
BBB,2013J,345288,F,East Midlands Region,A Level or Equivalent,20-30%,55<=,1,30,N,Distinction
DDD,2013B,677323,F,London Region,No Formal quals,40-50%,35-55,4,255,N,Withdrawn
CCC,2014B,247304,M,Scotland,HE Qualification,80-90%,35-55,2,310,Y,Pass
FFF,2013B,446045,M,London Region,Lower Than A Level,40-50%,35-55,2,145,N,Distinction
FFF,2013J,622686,M,South Region,A Level or Equivalent,90-100%,55<=,1,180,N,Pass
EEE,2014J,442937,M,Scotland,A Level or Equivalent,90-100%,35-55,2,155,N,Pass
GGG,2014B,620148,M,London Region,Post Graduate Qualification,50-60%,0-35,0,270,N,Distinction
DDD,2014J,372658,M,North Region,No Formal quals,40-50%,35-55,0,45,Y,Withdrawn
GGG,2014J,677270,M,Wales,Lower Than A Level,10-20,55<=,0,655,Y,Pass
GGG,2014J,2143440,M,Scotland,No Formal quals,70-80%,55<=,0,90,N,Distinction
BBB,2013B,472856,M,London Region,A Level or Equivalent,30-40%,0-35,4,310,N,Withdrawn
EEE,2014J,610775,M,East Anglian Region,No Formal quals,30-40%,0-35,0,100,N,Fail
CCC,2013B,584588,M,London Region,A Level or Equivalent,60-70%,0-35,0,325,Y,Fail
CCC,2014J,696157,F,North Western Region,No Formal quals,50-60%,0-35,5,430,Y,Pass
CCC,2013J,633388,M,Scotland,A Level or Equivalent,0-10%,0-35,2,65,Y,Fail
CCC,2014J,80358,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,540,N,Pass
FFF,2013J,535628,M,London Region,A Level or Equivalent,10-20,0-35,0,150,N,Withdrawn
FFF,2013J,578418,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,6,150,N,Fail
GGG,2013J,681089,M,Wales,A Level or Equivalent,90-100%,0-35,6,95,N,Withdrawn
FFF,2014J,2367887,F,South Region,Lower Than A Level,60-70%,55<=,0,105,Y,Withdrawn
GGG,2014J,574722,F,South West Region,Lower Than A Level,20-30%,0-35,0,280,N,Distinction
AAA,2013J,342089,M,South West Region,Lower Than A Level,90-100%,35-55,0,255,N,Pass
CCC,2014B,497793,F,Scotland,A Level or Equivalent,70-80%,35-55,4,60,N,Fail
FFF,2014B,585301,M,East Midlands Region,HE Qualification,20-30%,0-35,2,345,N,Pass
BBB,2013J,491914,M,East Midlands Region,No Formal quals,60-70%,0-35,3,85,Y,Distinction
CCC,2014J,85325,F,East Midlands Region,Lower Than A Level,50-60%,0-35,4,30,N,Pass
FFF,2014J,486244,M,Scotland,No Formal quals,80-90%,0-35,2,85,N,Pass
BBB,2013B,473640,M,Scotland,A Level or Equivalent,20-30%,35-55,0,145,N,Pass
FFF,2014J,591566,F,South West Region,A Level or Equivalent,N/A,0-35,6,90,N,Pass
GGG,2013J,621531,M,South Region,A Level or Equivalent,10-20,0-35,0,100,N,Withdrawn
CCC,2013B,230947,F,South Region,Lower Than A Level,50-60%,0-35,4,280,N,Fail
DDD,2014B,548573,F,South East Region,A Level or Equivalent,40-50%,0-35,6,170,Y,Distinction
DDD,2013B,685871,F,Scotland,A Level or Equivalent,80-90%,0-35,3,150,N,Fail
FFF,2014J,650232,F,Wales,HE Qualification,20-30%,55<=,5,270,Y,Withdrawn
FFF,2013J,543384,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,165,N,Withdrawn
FFF,2013J,549391,M,Wales,HE Qualification,90-100%,0-35,0,90,N,Withdrawn
BBB,2013B,678346,F,East Midlands Region,Post Graduate Qualification,70-80%,0-35,2,585,Y,Distinction
BBB,2014B,529078,F,South East Region,Lower Than A Level,70-80%,0-35,1,60,N,Distinction
AAA,2014J,588240,M,London Region,A Level or Equivalent,0-10%,0-35,0,80,N,Distinction
AAA,2014B,285315,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,255,Y,Pass
GGG,2014J,134847,F,East Midlands Region,A Level or Equivalent,70-80%,35-55,1,45,N,Withdrawn
GGG,2013B,695014,F,North Western Region,Post Graduate Qualification,60-70%,55<=,5,360,N,Pass
BBB,2013J,493451,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,325,Y,Distinction
FFF,2013J,574523,F,East Midlands Region,Lower Than A Level,80-90%,0-35,4,255,N,Pass
DDD,2013J,493743,M,North Western Region,A Level or Equivalent,40-50%,0-35,6,150,N,Distinction
GGG,2014B,496764,M,North Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
GGG,2014J,448370,M,North Region,No Formal quals,30-40%,35-55,2,370,Y,Withdrawn
FFF,2013J,541363,F,North Western Region,HE Qualification,30-40%,0-35,5,105,N,Withdrawn
DDD,2014B,1992145,M,East Midlands Region,Post Graduate Qualification,40-50%,0-35,6,180,N,Withdrawn
FFF,2013J,585847,F,East Anglian Region,Lower Than A Level,10-20,0-35,1,420,N,Distinction
FFF,2014B,565446,M,South West Region,Lower Than A Level,10-20,55<=,4,310,N,Withdrawn
GGG,2013B,543418,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,1,140,N,Distinction
FFF,2014B,615242,M,London Region,No Formal quals,70-80%,0-35,3,180,Y,Distinction
BBB,2014J,2526485,F,London Region,HE Qualification,10-20,0-35,5,30,N,Pass
FFF,2014B,303774,F,North Region,A Level or Equivalent,20-30%,35-55,6,180,N,Pass
FFF,2014J,642405,F,East Anglian Region,Post Graduate Qualification,0-10%,0-35,4,210,N,Fail
DDD,2014J,602777,F,West Midlands Region,No Formal quals,10-20,0-35,2,100,Y,Distinction
BBB,2014J,687256,F,Ireland,A Level or Equivalent,0-10%,0-35,5,370,N,Pass
CCC,2014J,512305,F,Scotland,Lower Than A Level,70-80%,35-55,4,370,N,Pass
GGG,2014J,390210,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,3,90,Y,Withdrawn
GGG,2014B,587633,M,South Region,A Level or Equivalent,20-30%,0-35,6,540,N,Pass
AAA,2013J,508924,M,Scotland,A Level or Equivalent,10-20,0-35,1,150,Y,Distinction
CCC,2013J,526177,M,Wales,HE Qualification,40-50%,0-35,0,135,N,Pass
BBB,2013J,646852,M,South West Region,HE Qualification,70-80%,55<=,4,420,N,Distinction
EEE,2013J,2440133,F,East Anglian Region,Post Graduate Qualification,90-100%,55<=,6,50,N,Pass
AAA,2014J,383254,M,East Midlands Region,No Formal quals,N/A,55<=,0,45,Y,Pass
GGG,2013B,577679,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,4,360,Y,Pass
EEE,2013J,582742,M,London Region,No Formal quals,30-40%,55<=,2,420,N,Fail
CCC,2014J,464685,M,South East Region,Lower Than A Level,30-40%,55<=,3,345,N,Withdrawn
CCC,2014J,508025,M,London Region,Lower Than A Level,10-20,35-55,0,100,N,Distinction
CCC,2014B,634946,F,Scotland,A Level or Equivalent,90-100%,0-35,0,255,N,Distinction
BBB,2014B,634547,F,West Midlands Region,Lower Than A Level,60-70%,0-35,1,655,Y,Withdrawn
DDD,2014J,674748,M,North Western Region,Lower Than A Level,50-60%,55<=,0,30,N,Pass
BBB,2014J,287258,M,East Anglian Region,No Formal quals,20-30%,55<=,5,225,N,Pass
CCC,2014J,446108,F,East Midlands Region,A Level or Equivalent,10-20,0-35,5,205,N,Fail
FFF,2014J,524730,M,Scotland,Lower Than A Level,60-70%,0-35,1,30,N,Distinction
EEE,2014B,466582,M,South East Region,HE Qualification,70-80%,0-35,0,280,N,Distinction
BBB,2014B,616789,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,80,N,Withdrawn
FFF,2013B,435536,F,Ireland,A Level or Equivalent,20-30%,0-35,0,140,N,Fail
AAA,2013B,688337,M,North Western Region,Lower Than A Level,0-10%,0-35,3,240,N,Pass
FFF,2014J,368963,F,South West Region,A Level or Equivalent,20-30%,0-35,0,110,N,Distinction
FFF,2014B,591608,M,Scotland,No Formal quals,0-10%,0-35,0,180,N,Distinction
GGG,2013J,383445,F,London Region,Lower Than A Level,N/A,55<=,4,160,Y,Distinction
BBB,2014J,551397,M,North Western Region,Post Graduate Qualification,60-70%,55<=,2,160,N,Distinction
DDD,2014B,625399,M,East Anglian Region,A Level or Equivalent,40-50%,55<=,1,180,N,Pass
FFF,2013J,556992,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,5,190,Y,Pass
BBB,2014J,576518,M,Yorkshire Region,Post Graduate Qualification,20-30%,55<=,0,180,N,Fail
EEE,2014J,485374,F,East Anglian Region,No Formal quals,60-70%,0-35,4,235,Y,Pass
DDD,2013B,617611,F,London Region,A Level or Equivalent,20-30%,35-55,0,630,N,Withdrawn
FFF,2013J,559414,F,Ireland,A Level or Equivalent,90-100%,35-55,2,235,Y,Fail
FFF,2013J,346207,M,Wales,Lower Than A Level,0-10%,35-55,0,40,N,Distinction
GGG,2013B,483743,M,South Region,A Level or Equivalent,40-50%,55<=,1,205,N,Withdrawn
FFF,2013J,648515,M,Ireland,A Level or Equivalent,90-100%,0-35,0,345,N,Pass
FFF,2013B,574320,M,North Region,A Level or Equivalent,10-20,0-35,5,100,N,Fail
GGG,2014J,634027,M,South Region,A Level or Equivalent,60-70%,0-35,5,160,N,Pass
GGG,2014J,562619,F,Ireland,Post Graduate Qualification,0-10%,0-35,0,280,Y,Pass
AAA,2014B,112454,M,Scotland,A Level or Equivalent,90-100%,0-35,0,370,N,Pass
FFF,2014B,647218,F,East Anglian Region,A Level or Equivalent,60-70%,55<=,0,215,N,Distinction
GGG,2014B,283798,F,North Western Region,A Level or Equivalent,50-60%,35-55,5,420,N,Pass
EEE,2013B,631514,F,Scotland,Post Graduate Qualification,60-70%,55<=,0,655,N,Withdrawn
CCC,2013J,618994,F,Scotland,Post Graduate Qualification,30-40%,0-35,5,90,N,Withdrawn
EEE,2013B,596423,M,Yorkshire Region,A Level or Equivalent,70-80%,55<=,3,155,N,Distinction
AAA,2014B,438452,M,South Region,A Level or Equivalent,60-70%,0-35,6,205,N,Withdrawn
CCC,2014B,620655,F,West Midlands Region,Lower Than A Level,40-50%,55<=,4,105,N,Distinction
GGG,2013J,602634,F,South Region,A Level or Equivalent,0-10%,0-35,5,155,N,Fail
CCC,2014B,596824,M,Scotland,Post Graduate Qualification,60-70%,0-35,0,255,N,Pass
BBB,2013B,2642029,F,Scotland,No Formal quals,60-70%,0-35,3,65,N,Fail
BBB,2013J,2138146,F,North Region,HE Qualification,20-30%,55<=,6,160,N,Distinction
BBB,2014B,588590,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,215,N,Pass
CCC,2013J,446097,F,London Region,A Level or Equivalent,50-60%,55<=,1,315,N,Fail
EEE,2013J,398349,M,South East Region,HE Qualification,10-20,55<=,1,430,N,Withdrawn
FFF,2014J,2677624,F,North Region,Lower Than A Level,40-50%,55<=,6,360,N,Withdrawn
BBB,2013J,686399,M,Wales,A Level or Equivalent,50-60%,0-35,3,205,Y,Distinction
BBB,2013B,72070,M,South Region,A Level or Equivalent,80-90%,0-35,3,200,Y,Fail
CCC,2014B,604427,F,West Midlands Region,Lower Than A Level,0-10%,0-35,6,160,N,Fail
DDD,2014B,612620,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
FFF,2014J,506288,M,East Anglian Region,Post Graduate Qualification,20-30%,0-35,6,175,Y,Pass
AAA,2013J,625833,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,205,N,Fail
DDD,2014J,647945,M,South Region,HE Qualification,50-60%,0-35,6,180,N,Fail
BBB,2014B,514581,F,Yorkshire Region,HE Qualification,30-40%,55<=,6,180,Y,Pass
DDD,2013B,613677,M,East Midlands Region,Lower Than A Level,60-70%,55<=,4,120,N,Withdrawn
AAA,2013J,387550,M,North Region,Lower Than A Level,30-40%,0-35,0,30,N,Withdrawn
FFF,2014J,249704,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,65,N,Pass
CCC,2014B,685009,F,Scotland,A Level or Equivalent,90-100%,55<=,0,370,N,Pass
CCC,2013J,266536,F,East Anglian Region,A Level or Equivalent,10-20,35-55,4,165,N,Pass
AAA,2014B,519941,M,East Anglian Region,No Formal quals,10-20,35-55,0,115,N,Fail
GGG,2014B,504583,F,London Region,No Formal quals,50-60%,0-35,0,60,Y,Fail
CCC,2014B,520249,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,6,200,Y,Withdrawn
GGG,2013J,617350,M,East Anglian Region,No Formal quals,10-20,55<=,0,655,Y,Pass
BBB,2014J,634477,M,East Anglian Region,Lower Than A Level,50-60%,0-35,5,80,N,Pass
CCC,2014J,2238424,M,South East Region,A Level or Equivalent,10-20,55<=,6,50,Y,Distinction
GGG,2014J,33387,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,3,300,Y,Withdrawn
FFF,2014J,394937,M,South West Region,A Level or Equivalent,10-20,0-35,4,65,N,Withdrawn
FFF,2014B,617416,F,East Midlands Region,HE Qualification,N/A,0-35,0,270,N,Fail
EEE,2014B,624563,M,Ireland,HE Qualification,0-10%,55<=,1,270,N,Fail
GGG,2014J,296408,M,South West Region,Lower Than A Level,70-80%,0-35,5,155,N,Fail
DDD,2014J,504064,F,South Region,No Formal quals,20-30%,0-35,0,280,Y,Pass
BBB,2014J,571451,F,Scotland,Lower Than A Level,30-40%,55<=,0,255,N,Withdrawn
BBB,2014J,579482,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,5,205,N,Withdrawn
DDD,2013J,601080,F,East Midlands Region,A Level or Equivalent,10-20,35-55,4,480,N,Distinction
GGG,2014J,528846,F,Ireland,A Level or Equivalent,30-40%,0-35,4,215,N,Pass
FFF,2014B,51153,F,Scotland,A Level or Equivalent,90-100%,55<=,0,70,Y,Withdrawn
DDD,2013J,507817,F,East Midlands Region,Lower Than A Level,30-40%,0-35,2,120,N,Fail
FFF,2013B,334224,M,London Region,Lower Than A Level,10-20,0-35,6,100,Y,Fail
CCC,2013J,605156,M,East Anglian Region,Post Graduate Qualification,50-60%,55<=,6,400,N,Pass
EEE,2013J,558769,F,Scotland,Lower Than A Level,10-20,0-35,6,85,N,Withdrawn
DDD,2013J,556391,M,Yorkshire Region,A Level or Equivalent,60-70%,35-55,2,255,N,Distinction
BBB,2013B,526659,F,London Region,HE Qualification,20-30%,55<=,1,330,Y,Fail
EEE,2013B,486511,M,East Anglian Region,Lower Than A Level,30-40%,55<=,0,40,Y,Withdrawn
EEE,2014B,655930,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,2,180,N,Distinction
FFF,2014J,674584,M,London Region,HE Qualification,0-10%,55<=,1,420,Y,Pass
DDD,2014B,574842,M,East Anglian Region,Lower Than A Level,80-90%,0-35,1,120,Y,Withdrawn
DDD,2014B,601467,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,585,N,Withdrawn
BBB,2013J,1664920,F,Scotland,HE Qualification,30-40%,35-55,4,30,N,Fail
CCC,2013J,498138,F,London Region,A Level or Equivalent,20-30%,55<=,3,30,N,Withdrawn
FFF,2013J,1770733,M,West Midlands Region,Lower Than A Level,80-90%,35-55,0,540,Y,Pass
DDD,2014B,592047,F,Ireland,No Formal quals,0-10%,0-35,2,60,Y,Withdrawn
GGG,2014B,608198,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,1,655,N,Pass
FFF,2013J,581340,F,North Western Region,Post Graduate Qualification,40-50%,35-55,5,400,N,Fail
CCC,2014B,154697,M,Yorkshire Region,A Level or Equivalent,N/A,0-35,0,400,N,Pass
FFF,2014J,1866233,M,East Anglian Region,A Level or Equivalent,20-30%,35-55,5,90,Y,Withdrawn
CCC,2013J,608231,M,Scotland,No Formal quals,N/A,0-35,0,130,N,Pass
GGG,2014J,477833,F,East Anglian Region,A Level or Equivalent,30-40%,35-55,4,240,N,Fail
DDD,2013J,490542,F,Wales,HE Qualification,80-90%,0-35,2,255,N,Pass
FFF,2013J,699436,M,London Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
GGG,2013J,2517826,M,North Western Region,No Formal quals,80-90%,35-55,1,135,N,Pass
GGG,2014J,608062,F,Scotland,A Level or Equivalent,0-10%,0-35,0,255,N,Fail
DDD,2013B,590540,M,East Midlands Region,A Level or Equivalent,10-20,0-35,3,180,N,Withdrawn
GGG,2014J,1741838,F,North Region,HE Qualification,20-30%,0-35,2,75,N,Fail
CCC,2014J,572891,F,West Midlands Region,No Formal quals,20-30%,55<=,1,30,Y,Pass
FFF,2014J,589126,M,Scotland,HE Qualification,0-10%,0-35,5,205,Y,Fail
CCC,2013J,550371,M,South West Region,A Level or Equivalent,70-80%,35-55,4,315,N,Pass
BBB,2014J,340242,F,Scotland,A Level or Equivalent,40-50%,55<=,1,105,Y,Distinction
BBB,2014J,1934047,F,East Anglian Region,No Formal quals,80-90%,35-55,0,655,Y,Withdrawn
BBB,2013B,238255,M,Wales,HE Qualification,20-30%,35-55,6,40,N,Withdrawn
AAA,2013B,584566,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,5,540,N,Distinction
BBB,2014J,2529306,F,Yorkshire Region,HE Qualification,20-30%,0-35,2,140,N,Fail
DDD,2014J,2350300,M,Scotland,A Level or Equivalent,0-10%,35-55,1,330,N,Withdrawn
BBB,2013B,609887,M,South West Region,HE Qualification,50-60%,0-35,4,310,N,Withdrawn
GGG,2014J,696410,F,Ireland,Post Graduate Qualification,20-30%,55<=,4,115,N,Fail
DDD,2014J,1902240,M,North Region,Lower Than A Level,10-20,35-55,6,360,N,Withdrawn
GGG,2013J,560012,M,West Midlands Region,HE Qualification,30-40%,55<=,0,145,N,Withdrawn
BBB,2013J,35812,F,South East Region,A Level or Equivalent,30-40%,0-35,2,160,N,Distinction
CCC,2014B,2419926,M,West Midlands Region,Lower Than A Level,10-20,35-55,5,540,N,Pass
EEE,2014J,603601,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,200,N,Distinction
DDD,2014B,427773,M,South Region,Lower Than A Level,10-20,0-35,1,330,Y,Distinction
BBB,2013J,470674,F,Scotland,A Level or Equivalent,60-70%,35-55,5,420,N,Withdrawn
FFF,2013J,620676,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,330,N,Pass
FFF,2013J,440288,M,East Midlands Region,Lower Than A Level,70-80%,0-35,6,205,N,Pass
BBB,2014J,682018,F,London Region,No Formal quals,20-30%,0-35,1,150,N,Withdrawn
CCC,2014J,412754,F,Wales,A Level or Equivalent,90-100%,0-35,6,345,N,Distinction
CCC,2014J,602862,M,London Region,A Level or Equivalent,90-100%,0-35,4,655,N,Pass
AAA,2013J,1510198,M,East Anglian Region,A Level or Equivalent,40-50%,55<=,6,255,Y,Distinction
BBB,2013J,675514,F,Scotland,Lower Than A Level,0-10%,0-35,2,310,N,Distinction
GGG,2014B,496185,M,North Region,A Level or Equivalent,40-50%,55<=,0,80,Y,Withdrawn
BBB,2014J,501095,F,East Anglian Region,Lower Than A Level,10-20,0-35,1,180,N,Fail
CCC,2013B,352102,M,West Midlands Region,No Formal quals,0-10%,55<=,3,280,Y,Fail
AAA,2014J,418129,F,London Region,Post Graduate Qualification,10-20,0-35,1,210,Y,Withdrawn
DDD,2014J,682483,M,South East Region,HE Qualification,90-100%,55<=,2,205,Y,Pass
DDD,2013J,513368,F,South Region,A Level or Equivalent,90-100%,35-55,6,180,N,Pass
FFF,2014B,428142,F,Ireland,HE Qualification,80-90%,0-35,3,120,N,Pass
CCC,2014J,636408,M,South West Region,A Level or Equivalent,60-70%,0-35,0,240,Y,Pass
BBB,2014J,569862,M,South Region,Lower Than A Level,70-80%,35-55,2,400,Y,Pass
BBB,2014J,542394,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,540,N,Distinction
BBB,2014J,1950911,M,South East Region,A Level or Equivalent,70-80%,35-55,0,220,N,Pass
EEE,2013J,445049,F,East Anglian Region,A Level or Equivalent,60-70%,55<=,0,85,N,Pass
GGG,2014B,634869,M,South Region,Lower Than A Level,50-60%,55<=,1,390,Y,Pass
BBB,2014J,682223,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,4,160,N,Withdrawn
CCC,2013J,465727,M,North Western Region,A Level or Equivalent,40-50%,0-35,1,630,N,Fail
FFF,2013J,435271,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,235,N,Withdrawn
FFF,2014J,503457,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,65,N,Distinction
GGG,2013B,1769985,M,Scotland,A Level or Equivalent,70-80%,0-35,6,240,Y,Distinction
CCC,2014J,467901,M,North Western Region,Lower Than A Level,60-70%,35-55,0,90,N,Fail
AAA,2013B,441393,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,6,200,N,Pass
DDD,2013B,599895,M,North Region,A Level or Equivalent,50-60%,0-35,0,270,Y,Pass
GGG,2014J,465629,M,South East Region,A Level or Equivalent,20-30%,55<=,2,205,N,Pass
DDD,2013J,332309,F,East Anglian Region,No Formal quals,90-100%,35-55,0,180,Y,Pass
GGG,2013J,612210,F,London Region,Lower Than A Level,50-60%,55<=,2,210,N,Withdrawn
BBB,2014B,625394,M,South West Region,No Formal quals,50-60%,55<=,6,130,Y,Distinction
CCC,2014J,685807,M,South West Region,A Level or Equivalent,40-50%,35-55,5,110,Y,Fail
AAA,2014J,482556,M,West Midlands Region,No Formal quals,80-90%,35-55,2,90,N,Distinction
DDD,2013J,2020628,M,Scotland,Lower Than A Level,50-60%,35-55,0,370,N,Pass
EEE,2014J,685292,F,Scotland,HE Qualification,30-40%,35-55,6,210,Y,Distinction
BBB,2014B,632575,F,South West Region,A Level or Equivalent,0-10%,35-55,6,85,Y,Distinction
CCC,2013J,539971,M,South Region,Lower Than A Level,10-20,0-35,5,150,N,Withdrawn
BBB,2014B,531448,F,Scotland,Post Graduate Qualification,60-70%,0-35,1,150,N,Pass
AAA,2013B,613162,M,South West Region,A Level or Equivalent,N/A,0-35,2,480,Y,Pass
FFF,2013J,679854,F,London Region,A Level or Equivalent,40-50%,0-35,0,360,Y,Distinction
GGG,2013J,625901,F,London Region,Post Graduate Qualification,50-60%,35-55,6,130,N,Pass
