code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
FFF,2014J,581003,F,North Western Region,HE Qualification,20-30%,0-35,5,360,Y,Fail
GGG,2014J,641262,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,330,N,Pass
GGG,2014J,576983,M,Scotland,Lower Than A Level,10-20,35-55,2,90,N,Fail
CCC,2014J,681125,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,300,N,Pass
DDD,2014B,514581,M,South West Region,No Formal quals,50-60%,0-35,0,135,N,Withdrawn
BBB,2013J,625651,F,East Anglian Region,No Formal quals,70-80%,35-55,6,270,N,Fail
BBB,2014B,401824,M,North Western Region,A Level or Equivalent,0-10%,35-55,1,240,Y,Pass
GGG,2014J,634721,M,Ireland,Lower Than A Level,10-20,35-55,0,400,Y,Withdrawn
AAA,2014B,305547,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,40,N,Distinction
CCC,2013J,647684,F,Scotland,HE Qualification,0-10%,55<=,1,280,N,Fail
FFF,2013B,31849,M,South West Region,No Formal quals,30-40%,55<=,0,80,Y,Withdrawn
BBB,2014J,99609,M,South East Region,A Level or Equivalent,20-30%,35-55,3,110,N,Pass
DDD,2014J,2363863,M,North Western Region,Lower Than A Level,0-10%,35-55,4,255,N,Fail
DDD,2014J,501637,M,Scotland,No Formal quals,60-70%,35-55,0,170,N,Distinction
FFF,2013B,380151,F,South West Region,A Level or Equivalent,0-10%,35-55,1,75,N,Fail
EEE,2014J,603559,M,West Midlands Region,Lower Than A Level,90-100%,35-55,6,30,N,Pass
EEE,2013J,394218,M,South East Region,Lower Than A Level,0-10%,0-35,0,150,N,Withdrawn
AAA,2013J,694132,F,London Region,A Level or Equivalent,70-80%,0-35,3,280,N,Withdrawn
BBB,2014B,170030,F,South West Region,Lower Than A Level,60-70%,0-35,0,210,N,Withdrawn
AAA,2014B,545115,F,South East Region,Lower Than A Level,90-100%,0-35,1,210,Y,Fail
CCC,2013J,628333,M,North Western Region,Lower Than A Level,50-60%,0-35,2,140,N,Distinction
FFF,2014J,600542,F,South Region,No Formal quals,40-50%,35-55,6,420,Y,Pass
FFF,2014B,560374,M,North Western Region,Lower Than A Level,20-30%,35-55,0,190,N,Pass
BBB,2014J,601316,M,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,355,N,Fail
FFF,2014B,1901165,F,East Anglian Region,Lower Than A Level,80-90%,35-55,5,240,N,Pass
BBB,2014J,375856,F,Scotland,No Formal quals,60-70%,0-35,3,190,N,Withdrawn
GGG,2013J,2514949,F,Yorkshire Region,No Formal quals,50-60%,35-55,6,75,N,Withdrawn
DDD,2014J,579575,M,South Region,Lower Than A Level,60-70%,35-55,1,400,Y,Pass
DDD,2014J,475015,M,North Western Region,A Level or Equivalent,10-20,0-35,6,225,N,Fail
BBB,2014J,445415,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,6,630,N,Pass
BBB,2013J,424987,F,East Midlands Region,A Level or Equivalent,50-60%,55<=,3,140,N,Withdrawn
BBB,2014J,183287,F,South Region,Lower Than A Level,50-60%,35-55,6,235,N,Pass
FFF,2014B,2681471,F,Scotland,A Level or Equivalent,40-50%,0-35,1,315,N,Fail
BBB,2013B,688175,M,South West Region,No Formal quals,60-70%,35-55,0,75,N,Distinction
GGG,2014J,633069,F,North Western Region,A Level or Equivalent,90-100%,35-55,1,400,N,Pass
FFF,2013J,2603534,M,Wales,Lower Than A Level,40-50%,35-55,0,345,N,Distinction
DDD,2014J,328844,M,East Midlands Region,A Level or Equivalent,0-10%,35-55,0,630,Y,Withdrawn
DDD,2013J,472341,M,North Region,A Level or Equivalent,70-80%,0-35,4,200,N,Distinction
FFF,2014B,549113,M,North Region,Lower Than A Level,60-70%,0-35,5,210,N,Withdrawn
FFF,2014J,587696,F,Scotland,A Level or Equivalent,10-20,0-35,3,400,N,Pass
DDD,2014J,601731,M,Wales,A Level or Equivalent,40-50%,35-55,2,110,N,Pass
DDD,2013J,573922,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,2,155,Y,Withdrawn
BBB,2014B,645529,M,South Region,A Level or Equivalent,50-60%,35-55,3,540,N,Withdrawn
EEE,2014B,675823,F,West Midlands Region,HE Qualification,60-70%,55<=,2,30,N,Fail
GGG,2013J,480716,F,North Region,Post Graduate Qualification,70-80%,35-55,5,355,N,Withdrawn
FFF,2014J,646120,M,South Region,A Level or Equivalent,0-10%,0-35,4,250,N,Distinction
GGG,2013B,624384,F,Ireland,Post Graduate Qualification,10-20,35-55,0,200,N,Pass
GGG,2014J,685412,F,London Region,A Level or Equivalent,0-10%,35-55,1,655,N,Pass
EEE,2014J,648852,M,North Region,No Formal quals,90-100%,35-55,6,540,Y,Pass
DDD,2013J,506582,M,South West Region,Lower Than A Level,40-50%,35-55,4,420,N,Distinction
EEE,2013J,593348,F,Ireland,A Level or Equivalent,0-10%,0-35,1,60,N,Pass
FFF,2014J,199261,M,North Western Region,Lower Than A Level,30-40%,35-55,0,165,Y,Pass
DDD,2013J,601952,M,Yorkshire Region,HE Qualification,80-90%,35-55,5,300,Y,Pass
AAA,2013B,518709,F,North Region,A Level or Equivalent,70-80%,35-55,5,655,Y,Fail
GGG,2013B,1772429,F,North Region,HE Qualification,20-30%,0-35,5,655,N,Fail
FFF,2014J,623169,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,5,110,N,Withdrawn
FFF,2013B,542506,M,Ireland,Lower Than A Level,0-10%,35-55,3,430,Y,Fail
FFF,2014J,631884,F,Ireland,A Level or Equivalent,0-10%,0-35,5,190,N,Pass
DDD,2013J,510762,F,South East Region,HE Qualification,20-30%,55<=,3,75,Y,Withdrawn
EEE,2014J,587838,F,East Anglian Region,No Formal quals,80-90%,55<=,2,240,N,Fail
AAA,2014B,526980,M,East Midlands Region,Post Graduate Qualification,70-80%,35-55,6,225,N,Withdrawn
CCC,2014J,575992,M,West Midlands Region,No Formal quals,30-40%,0-35,2,205,N,Distinction
CCC,2014B,689333,F,London Region,Post Graduate Qualification,70-80%,55<=,6,235,Y,Distinction
BBB,2013B,536591,F,Scotland,A Level or Equivalent,10-20,0-35,5,50,Y,Withdrawn
CCC,2014J,691834,M,North Western Region,Lower Than A Level,20-30%,0-35,2,370,N,Pass
FFF,2014J,585526,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,2,65,N,Withdrawn
FFF,2014J,144895,M,West Midlands Region,A Level or Equivalent,60-70%,35-55,4,180,N,Pass
GGG,2013B,586450,M,Scotland,A Level or Equivalent,50-60%,0-35,0,215,N,Withdrawn
DDD,2014J,621478,F,Wales,No Formal quals,10-20,55<=,6,655,N,Pass
CCC,2013J,695516,M,West Midlands Region,Lower Than A Level,20-30%,55<=,1,480,N,Fail
CCC,2013J,588445,M,South East Region,A Level or Equivalent,70-80%,35-55,6,195,N,Pass
GGG,2014B,591986,M,South Region,Lower Than A Level,80-90%,0-35,0,30,Y,Withdrawn
DDD,2014J,614582,F,London Region,No Formal quals,30-40%,35-55,1,80,N,Pass
DDD,2014J,618734,M,Wales,Lower Than A Level,40-50%,55<=,5,75,N,Pass
GGG,2014B,2438784,F,South West Region,A Level or Equivalent,30-40%,0-35,0,115,N,Fail
BBB,2013J,154059,M,North Region,A Level or Equivalent,0-10%,0-35,2,215,N,Withdrawn
BBB,2014B,554290,M,Scotland,A Level or Equivalent,90-100%,0-35,0,105,N,Withdrawn
CCC,2014J,400718,M,Ireland,Lower Than A Level,90-100%,35-55,3,55,N,Pass
GGG,2014J,400004,F,South East Region,A Level or Equivalent,50-60%,35-55,3,90,N,Pass
EEE,2014J,679451,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,75,Y,Pass
CCC,2014B,631935,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,5,390,N,Withdrawn
CCC,2013J,536199,F,Scotland,Lower Than A Level,0-10%,0-35,5,50,Y,Fail
BBB,2013J,526177,F,North Western Region,HE Qualification,70-80%,55<=,4,330,N,Pass
DDD,2013J,642883,M,South Region,A Level or Equivalent,20-30%,35-55,2,345,N,Pass
BBB,2014B,1986974,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,2,325,N,Fail
DDD,2014J,78255,M,North Region,Lower Than A Level,50-60%,35-55,3,225,Y,Pass
FFF,2013B,534944,M,London Region,A Level or Equivalent,30-40%,55<=,3,310,N,Distinction
AAA,2013J,423147,F,North Western Region,Post Graduate Qualification,40-50%,35-55,2,370,Y,Fail
GGG,2013B,505501,F,Scotland,Lower Than A Level,20-30%,0-35,3,130,Y,Distinction
FFF,2013J,615401,M,South East Region,HE Qualification,70-80%,0-35,5,130,N,Pass
DDD,2013B,572101,M,North Region,A Level or Equivalent,20-30%,35-55,3,310,N,Withdrawn
FFF,2014J,590923,F,Scotland,Lower Than A Level,0-10%,0-35,1,300,N,Withdrawn
BBB,2013B,606422,F,South Region,HE Qualification,50-60%,35-55,4,85,Y,Fail
CCC,2014B,471711,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,4,360,Y,Distinction
FFF,2014J,509845,F,East Anglian Region,A Level or Equivalent,0-10%,35-55,5,180,N,Pass
DDD,2014B,474246,F,North Region,A Level or Equivalent,60-70%,55<=,3,150,N,Pass
GGG,2014J,681168,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,5,100,Y,Withdrawn
EEE,2014J,582197,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
BBB,2014J,588178,M,London Region,A Level or Equivalent,0-10%,35-55,5,115,Y,Pass
GGG,2013J,520153,M,London Region,A Level or Equivalent,20-30%,35-55,1,225,N,Withdrawn
CCC,2014B,613152,M,Scotland,A Level or Equivalent,20-30%,35-55,0,140,N,Withdrawn
CCC,2013B,517016,F,London Region,HE Qualification,70-80%,55<=,0,150,N,Distinction
EEE,2014B,386180,M,Yorkshire Region,Lower Than A Level,N/A,35-55,5,300,N,Withdrawn
BBB,2013J,609330,M,South Region,A Level or Equivalent,20-30%,35-55,1,345,Y,Withdrawn
GGG,2014J,288994,F,London Region,A Level or Equivalent,90-100%,0-35,0,80,Y,Pass
CCC,2014B,620740,F,South Region,No Formal quals,20-30%,55<=,5,300,N,Withdrawn
GGG,2013B,113698,M,Wales,HE Qualification,40-50%,35-55,5,420,N,Distinction
FFF,2013J,517553,F,East Midlands Region,HE Qualification,N/A,0-35,1,100,N,Fail
AAA,2013B,580459,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,5,280,Y,Distinction
CCC,2014J,635774,M,North Western Region,Lower Than A Level,40-50%,0-35,0,420,N,Distinction
BBB,2013B,531202,M,London Region,HE Qualification,40-50%,55<=,2,220,N,Fail
GGG,2014J,411126,F,West Midlands Region,Post Graduate Qualification,10-20,0-35,0,180,N,Withdrawn
AAA,2013B,354713,M,East Anglian Region,Lower Than A Level,20-30%,35-55,0,235,N,Distinction
GGG,2013J,576409,F,South East Region,HE Qualification,40-50%,55<=,6,165,N,Fail
AAA,2013J,637906,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,Y,Distinction
FFF,2014B,562642,F,North Region,A Level or Equivalent,10-20,55<=,4,60,Y,Fail
EEE,2013J,598887,M,West Midlands Region,A Level or Equivalent,10-20,0-35,1,165,N,Fail
CCC,2013J,632790,F,London Region,A Level or Equivalent,10-20,0-35,0,130,N,Pass
FFF,2014J,684180,F,East Midlands Region,HE Qualification,80-90%,0-35,5,30,N,Pass
DDD,2014J,178179,M,East Midlands Region,A Level or Equivalent,30-40%,55<=,0,300,Y,Distinction
FFF,2014J,593594,F,South East Region,No Formal quals,90-100%,0-35,2,310,N,Distinction
FFF,2013B,585579,F,South East Region,Lower Than A Level,60-70%,0-35,2,225,N,Pass
CCC,2014J,529723,F,East Midlands Region,Lower Than A Level,40-50%,0-35,6,370,N,Withdrawn
DDD,2014J,429185,M,Scotland,No Formal quals,80-90%,0-35,0,655,N,Pass
GGG,2013J,174436,F,Wales,A Level or Equivalent,50-60%,55<=,2,210,Y,Fail
BBB,2013J,504157,F,Scotland,Lower Than A Level,70-80%,0-35,2,145,Y,Pass
