gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,high school,standard,none,57,47,80
female,group D,master's degree,standard,none,91,56,76
male,group E,bachelor's degree,standard,none,59,34,95
female,group E,master's degree,standard,none,27,70,85
male,group C,master's degree,standard,completed,28,46,57
female,group E,bachelor's degree,free/reduced,none,40,62,59
female,group C,bachelor's degree,free/reduced,none,63,82,34
female,group D,bachelor's degree,standard,completed,8,71,97
male,group D,associate's degree,standard,completed,48,83,42
male,group C,master's degree,standard,none,100,55,42
female,group B,associate's degree,free/reduced,none,41,82,89
female,group D,some college,standard,completed,35,79,55
female,group E,high school,standard,completed,73,34,34
male,group D,high school,standard,completed,48,67,73
male,group A,bachelor's degree,standard,completed,23,63,84
female,group B,master's degree,standard,none,36,43,10
male,group D,some high school,free/reduced,completed,33,89,100
male,group A,some high school,free/reduced,none,53,75,89
male,group A,associate's degree,free/reduced,none,22,70,87
female,group E,master's degree,standard,completed,37,88,61
female,group D,some college,free/reduced,none,99,54,37
male,group E,some college,standard,none,41,48,46
male,group C,high school,standard,completed,76,42,48
male,group C,some college,free/reduced,completed,22,91,89
male,group A,master's degree,standard,none,8,31,77
male,group E,bachelor's degree,standard,none,0,83,59
male,group E,master's degree,free/reduced,none,97,29,63
female,group E,some high school,free/reduced,none,88,45,57
male,group E,some college,free/reduced,none,95,49,86
female,group D,some high school,free/reduced,completed,67,80,37
female,group D,some high school,free/reduced,none,64,50,41
female,group D,some high school,standard,none,93,82,71
female,group E,some high school,standard,none,29,51,100
female,group D,some high school,standard,none,34,89,77
female,group C,some high school,free/reduced,none,19,93,67
female,group E,associate's degree,standard,none,37,23,45
male,group E,bachelor's degree,free/reduced,completed,98,37,40
male,group E,associate's degree,standard,none,74,28,55
female,group B,some high school,standard,none,37,43,78
female,group C,bachelor's degree,free/reduced,none,0,48,77
female,group A,high school,standard,none,50,46,94
female,group E,some college,free/reduced,completed,96,87,22
male,group A,bachelor's degree,standard,none,40,17,19
female,group E,high school,free/reduced,none,81,89,68
female,group D,some high school,standard,completed,95,65,73
female,group B,bachelor's degree,free/reduced,none,92,88,99
male,group C,bachelor's degree,standard,none,37,34,61
female,group E,bachelor's degree,free/reduced,completed,63,29,34
female,group B,some college,standard,none,37,31,90
female,group C,some high school,free/reduced,none,95,46,40
female,group E,bachelor's degree,free/reduced,completed,77,65,23
female,group E,high school,standard,completed,86,88,41
female,group B,master's degree,free/reduced,completed,66,44,87
male,group C,master's degree,standard,none,76,32,34
male,group D,some college,standard,completed,92,23,23
male,group E,some high school,free/reduced,completed,37,66,78
female,group E,associate's degree,free/reduced,completed,90,66,79
female,group D,master's degree,standard,none,42,44,19
male,group E,high school,free/reduced,completed,37,76,45
female,group C,high school,free/reduced,none,92,42,42
female,group C,master's degree,standard,none,19,85,69
female,group E,some college,free/reduced,completed,48,78,64
female,group E,high school,standard,none,67,84,81
female,group C,some high school,standard,none,83,44,93
female,group E,some college,free/reduced,completed,54,82,19
male,group C,master's degree,free/reduced,completed,95,77,19
female,group D,some college,standard,completed,46,62,82
male,group E,some high school,standard,none,54,44,28
female,group B,master's degree,free/reduced,none,72,84,86
female,group A,high school,standard,none,79,49,45
female,group E,associate's degree,free/reduced,none,29,26,83
male,group E,some college,free/reduced,none,44,43,57
female,group A,high school,standard,none,52,24,72
female,group E,some high school,free/reduced,completed,18,26,76
male,group A,some college,standard,none,83,55,93
female,group D,some college,standard,completed,82,23,48
female,group C,some college,free/reduced,none,69,48,36
female,group C,master's degree,free/reduced,completed,64,69,70
male,group A,some college,standard,none,67,59,81
female,group C,bachelor's degree,free/reduced,completed,41,28,52
female,group A,some high school,free/reduced,none,96,28,27
female,group A,high school,standard,completed,77,54,71
male,group E,high school,standard,completed,68,74,81
female,group B,master's degree,standard,completed,8,50,68
female,group B,high school,standard,none,42,91,45
female,group E,master's degree,standard,completed,29,61,46
female,group A,master's degree,standard,completed,62,59,95
female,group C,high school,free/reduced,none,54,32,79
male,group D,some college,free/reduced,none,19,46,88
male,group B,associate's degree,standard,none,69,60,70
female,group E,high school,standard,completed,19,34,49
female,group B,master's degree,standard,completed,26,94,57
male,group D,bachelor's degree,free/reduced,none,42,57,80
female,group A,high school,free/reduced,none,60,57,51
female,group E,bachelor's degree,free/reduced,completed,79,44,93
male,group D,high school,free/reduced,completed,8,86,76
female,group D,some high school,standard,none,74,23,62
female,group A,some high school,standard,none,24,85,86
female,group D,bachelor's degree,free/reduced,completed,89,79,15
male,group B,high school,standard,completed,32,74,65
male,group B,some high school,standard,completed,63,94,35
female,group E,high school,standard,completed,69,79,55
female,group E,bachelor's degree,free/reduced,completed,22,17,34
male,group B,bachelor's degree,free/reduced,completed,68,46,61
male,group E,master's degree,standard,none,80,32,76
male,group A,high school,standard,completed,35,54,88
male,group B,bachelor's degree,standard,none,34,44,68
male,group D,some college,free/reduced,none,34,81,92
male,group E,some high school,standard,completed,50,85,41
male,group D,some high school,free/reduced,none,66,39,64
female,group A,associate's degree,standard,none,72,63,59
male,group E,associate's degree,free/reduced,none,82,53,99
male,group E,high school,free/reduced,none,92,91,85
male,group D,bachelor's degree,standard,completed,57,45,64
male,group D,some college,standard,none,88,51,56
male,group E,some high school,free/reduced,completed,68,63,65
female,group E,master's degree,standard,completed,78,91,60
female,group B,master's degree,standard,completed,88,93,54
female,group E,bachelor's degree,free/reduced,none,53,94,75
female,group C,high school,standard,none,77,53,82
male,group E,master's degree,standard,none,95,47,74
male,group D,bachelor's degree,free/reduced,none,66,100,91
male,group A,bachelor's degree,standard,none,89,88,85
female,group E,some high school,free/reduced,none,41,53,54
male,group A,high school,free/reduced,none,85,46,33
female,group D,associate's degree,standard,completed,93,32,22
female,group D,master's degree,standard,none,54,32,86
male,group D,some college,standard,none,62,95,61
male,group D,some high school,free/reduced,none,68,46,22
female,group A,master's degree,free/reduced,none,0,70,37
male,group D,high school,free/reduced,completed,85,88,88
female,group B,some high school,standard,none,45,17,75
male,group B,master's degree,standard,completed,50,57,42
female,group B,some high school,standard,none,41,73,33
female,group C,bachelor's degree,free/reduced,none,53,92,33
female,group D,some high school,free/reduced,completed,76,32,95
male,group C,master's degree,standard,none,58,74,63
female,group A,some college,free/reduced,none,50,79,61
male,group E,associate's degree,standard,completed,45,97,98
female,group E,some high school,standard,none,69,23,22
male,group D,bachelor's degree,free/reduced,completed,53,37,73
female,group D,master's degree,free/reduced,none,34,81,69
female,group C,master's degree,standard,none,39,99,52
male,group E,master's degree,free/reduced,completed,59,51,57
female,group A,bachelor's degree,free/reduced,none,37,48,98
female,group B,associate's degree,standard,none,45,81,70
male,group A,some college,standard,completed,90,91,34
female,group E,bachelor's degree,standard,completed,58,41,77
female,group A,some college,free/reduced,none,30,87,59
female,group E,bachelor's degree,free/reduced,none,99,79,47
female,group D,some college,free/reduced,none,43,45,78
male,group B,associate's degree,free/reduced,completed,86,45,39
female,group E,master's degree,standard,none,56,71,39
female,group D,high school,standard,none,92,76,87
male,group D,some high school,standard,completed,97,42,94
male,group A,high school,standard,none,18,64,94
female,group E,high school,standard,none,42,72,61
female,group B,associate's degree,free/reduced,none,34,79,85
male,group C,some college,standard,completed,88,99,74
female,group E,some college,free/reduced,completed,65,77,61
female,group A,master's degree,standard,completed,58,17,42
female,group A,some high school,standard,none,85,81,42
female,group B,master's degree,standard,completed,36,83,95
male,group C,high school,standard,none,18,37,63
female,group D,master's degree,free/reduced,none,83,42,98
female,group C,master's degree,standard,none,50,71,64
female,group D,master's degree,free/reduced,completed,84,23,92
female,group E,bachelor's degree,standard,none,26,61,97
male,group E,some college,free/reduced,completed,89,70,52
female,group D,master's degree,free/reduced,completed,22,43,66
female,group D,some college,free/reduced,none,76,54,73
female,group D,bachelor's degree,standard,completed,51,31,82
female,group E,associate's degree,free/reduced,none,65,26,94
female,group A,some high school,free/reduced,completed,55,91,84
female,group B,bachelor's degree,standard,none,77,94,99
female,group B,high school,standard,none,29,41,77
female,group E,master's degree,free/reduced,none,32,100,94
male,group C,bachelor's degree,free/reduced,none,88,73,59
male,group B,some college,standard,completed,67,52,44
female,group D,master's degree,standard,completed,32,51,15
male,group D,some high school,standard,none,29,81,98
male,group B,master's degree,standard,none,88,83,19
female,group C,bachelor's degree,free/reduced,none,62,24,57
female,group D,some college,free/reduced,none,96,42,89
female,group E,master's degree,standard,completed,94,59,44
male,group B,bachelor's degree,free/reduced,completed,30,23,19
male,group A,associate's degree,standard,none,63,59,99
male,group E,bachelor's degree,free/reduced,completed,94,80,72
female,group D,master's degree,free/reduced,none,22,67,34
male,group E,some high school,standard,none,75,78,57
male,group A,master's degree,free/reduced,none,63,39,78
male,group E,associate's degree,standard,none,65,24,59
male,group B,some high school,standard,none,56,79,58
male,group A,master's degree,free/reduced,none,18,99,100
male,group B,master's degree,standard,completed,90,23,71
female,group E,associate's degree,standard,none,93,37,27
male,group B,master's degree,standard,completed,84,83,91
female,group E,some high school,free/reduced,none,28,88,52
male,group C,associate's degree,standard,completed,95,92,63
male,group E,master's degree,standard,none,53,29,90
male,group B,some college,free/reduced,none,29,73,95
female,group D,high school,standard,completed,87,65,83
female,group B,master's degree,standard,none,87,86,62
female,group B,master's degree,standard,completed,32,63,69
female,group B,high school,free/reduced,none,35,62,54
male,group B,master's degree,standard,completed,48,56,27
female,group C,some college,standard,none,58,52,41
male,group E,associate's degree,standard,none,53,55,97
male,group A,some high school,standard,none,41,72,85
male,group D,some high school,standard,none,64,97,47
male,group D,some college,free/reduced,completed,81,90,72
female,group D,some college,standard,none,64,58,44
female,group C,high school,standard,none,70,46,45
male,group E,master's degree,free/reduced,completed,75,31,58
male,group E,some high school,standard,none,49,91,94
female,group A,high school,free/reduced,completed,36,63,61
male,group D,master's degree,free/reduced,none,80,55,69
female,group E,bachelor's degree,free/reduced,none,36,55,61
female,group B,bachelor's degree,free/reduced,none,68,71,96
female,group B,bachelor's degree,free/reduced,completed,85,97,84
male,group D,associate's degree,free/reduced,none,29,37,64
female,group C,bachelor's degree,standard,completed,59,71,53
female,group E,some college,standard,completed,97,64,78
female,group E,some college,standard,none,49,69,73
male,group D,some high school,standard,completed,50,46,44
female,group C,some college,free/reduced,none,8,51,82
female,group A,master's degree,free/reduced,completed,77,42,78
female,group C,bachelor's degree,free/reduced,none,40,38,53
female,group D,master's degree,standard,none,92,89,23
female,group C,some college,free/reduced,completed,58,29,49
female,group D,bachelor's degree,standard,completed,78,23,54
female,group B,some college,standard,none,59,57,62
male,group A,some high school,free/reduced,none,55,94,42
female,group D,some high school,standard,none,35,45,95
female,group E,some college,standard,none,47,76,56
female,group C,some college,standard,completed,98,48,59
female,group D,associate's degree,standard,completed,44,45,27
male,group E,high school,standard,none,95,65,22
female,group C,high school,free/reduced,completed,82,40,22
male,group E,master's degree,free/reduced,completed,45,77,52
male,group B,master's degree,free/reduced,none,68,43,27
male,group E,high school,standard,completed,50,65,39
male,group C,bachelor's degree,standard,none,96,42,72
male,group A,master's degree,standard,completed,81,31,55
male,group D,high school,standard,none,34,39,56
male,group B,high school,standard,none,93,87,27
male,group E,master's degree,standard,none,63,97,95
female,group D,bachelor's degree,standard,none,53,65,97
male,group B,associate's degree,standard,none,23,78,32
male,group A,master's degree,standard,none,32,39,94
female,group D,some college,free/reduced,none,18,77,46
female,group E,master's degree,standard,none,41,93,96
male,group B,bachelor's degree,standard,none,32,94,94
male,group E,master's degree,free/reduced,none,75,94,40
female,group D,master's degree,free/reduced,none,67,49,99
female,group E,some high school,free/reduced,none,55,71,63
female,group D,some college,standard,none,95,84,33
male,group D,bachelor's degree,standard,none,30,87,22
female,group B,some high school,free/reduced,none,95,84,92
male,group A,bachelor's degree,standard,completed,58,74,27
male,group C,master's degree,standard,none,96,61,68
female,group E,master's degree,free/reduced,completed,18,57,93
male,group C,some high school,free/reduced,none,30,43,100
male,group A,high school,standard,completed,78,79,53
female,group D,associate's degree,free/reduced,completed,63,53,84
female,group E,high school,standard,completed,48,54,95
female,group B,some college,standard,none,91,76,28
female,group B,high school,free/reduced,none,26,43,57
female,group E,master's degree,free/reduced,none,90,63,57
male,group E,some high school,standard,completed,56,28,36
male,group B,associate's degree,free/reduced,none,43,48,92
female,group C,bachelor's degree,standard,none,71,84,44
male,group E,master's degree,standard,completed,29,44,43
male,group D,master's degree,free/reduced,completed,81,23,34
female,group D,master's degree,free/reduced,none,75,39,65
female,group D,master's degree,free/reduced,none,80,41,49
male,group C,master's degree,free/reduced,completed,30,75,80
female,group E,high school,free/reduced,none,92,43,36
female,group C,associate's degree,standard,none,28,95,60
female,group B,master's degree,standard,none,47,67,94
male,group D,associate's degree,free/reduced,completed,72,73,30
female,group C,some college,standard,completed,71,76,81
female,group D,high school,standard,completed,64,81,43
female,group B,high school,free/reduced,completed,51,47,19
male,group E,master's degree,free/reduced,completed,53,26,62
male,group A,some college,standard,completed,67,61,28
female,group D,bachelor's degree,free/reduced,completed,61,46,44
female,group B,some college,free/reduced,completed,85,80,44
female,group A,associate's degree,free/reduced,none,60,26,59
male,group A,associate's degree,standard,completed,97,52,41
female,group C,master's degree,standard,none,22,24,54
male,group A,some college,free/reduced,completed,55,91,47
male,group E,associate's degree,free/reduced,none,55,82,93
female,group C,master's degree,free/reduced,none,36,68,87
male,group C,master's degree,standard,none,79,55,96
female,group E,bachelor's degree,standard,completed,91,38,60
male,group A,some high school,standard,completed,50,38,36
female,group E,bachelor's degree,standard,none,87,70,95
female,group C,some high school,standard,none,36,68,63
female,group E,some high school,standard,completed,30,50,41
female,group D,some high school,free/reduced,completed,48,95,34
female,group B,some college,standard,completed,0,80,66
male,group C,some college,standard,none,35,23,57
female,group B,some high school,free/reduced,completed,29,58,92
female,group D,associate's degree,standard,completed,47,76,39
male,group E,master's degree,standard,completed,66,50,52
female,group B,some high school,standard,none,83,87,68
female,group A,master's degree,standard,none,29,50,45
female,group D,master's degree,standard,none,42,47,61
male,group B,high school,standard,none,84,66,96
male,group B,some college,standard,completed,72,31,60
female,group A,bachelor's degree,free/reduced,none,38,70,65
female,group A,master's degree,standard,completed,60,41,55
male,group B,master's degree,free/reduced,none,30,60,23
female,group E,master's degree,standard,none,82,81,93
male,group E,some high school,standard,none,82,39,53
male,group C,high school,standard,completed,95,37,22
male,group D,master's degree,standard,completed,37,37,52
male,group C,some college,standard,none,85,46,61
male,group D,master's degree,standard,none,22,44,69
female,group D,some high school,standard,none,79,69,56
female,group C,bachelor's degree,standard,completed,99,29,47
female,group C,bachelor's degree,free/reduced,none,77,49,32
male,group B,bachelor's degree,free/reduced,none,0,53,56
female,group D,master's degree,free/reduced,none,18,97,44
female,group B,bachelor's degree,free/reduced,none,78,56,44
female,group D,bachelor's degree,standard,completed,0,96,72
male,group C,master's degree,free/reduced,none,58,29,23
female,group C,bachelor's degree,standard,none,23,26,51
male,group C,some high school,standard,completed,53,24,93
male,group E,associate's degree,free/reduced,none,87,28,86
male,group A,some college,free/reduced,none,68,60,56
male,group A,high school,free/reduced,none,95,29,30
male,group A,some high school,standard,completed,68,91,47
female,group C,some high school,standard,completed,53,75,52
female,group A,bachelor's degree,free/reduced,completed,19,67,72
female,group E,bachelor's degree,standard,none,26,75,54
female,group E,high school,standard,none,45,59,60
male,group B,some high school,free/reduced,completed,18,100,44
male,group D,associate's degree,standard,completed,87,53,82
female,group C,some high school,standard,none,19,76,34
male,group E,high school,standard,none,39,90,53
female,group D,some college,standard,completed,67,88,97
female,group E,bachelor's degree,standard,none,44,56,44
female,group C,some high school,standard,none,74,84,34
female,group E,high school,free/reduced,none,70,97,46
male,group E,master's degree,free/reduced,none,73,90,42
female,group A,some high school,standard,none,88,83,45
male,group A,master's degree,standard,completed,38,66,56
male,group A,bachelor's degree,free/reduced,none,33,31,38
male,group E,associate's degree,free/reduced,none,91,68,45
female,group C,bachelor's degree,standard,none,72,55,50
male,group A,some high school,standard,none,37,58,76
female,group D,some high school,free/reduced,none,50,51,36
female,group B,some college,free/reduced,none,29,82,34
male,group A,some college,standard,completed,49,95,44
female,group D,some high school,standard,none,68,64,70
female,group C,master's degree,standard,none,0,49,96
female,group D,master's degree,free/reduced,none,57,89,61
male,group D,master's degree,standard,none,93,53,61
female,group C,high school,standard,none,32,34,34
male,group E,associate's degree,standard,none,56,56,63
female,group C,master's degree,free/reduced,none,62,66,99
male,group D,high school,free/reduced,none,89,29,51
female,group E,bachelor's degree,free/reduced,none,82,80,28
male,group E,associate's degree,free/reduced,none,70,95,72
female,group E,bachelor's degree,standard,none,36,83,15
female,group C,master's degree,free/reduced,none,41,63,97
male,group E,some high school,standard,completed,42,87,79
female,group C,master's degree,free/reduced,none,62,95,66
female,group E,bachelor's degree,free/reduced,completed,47,95,38
male,group B,some high school,standard,none,85,31,68
female,group D,some high school,standard,completed,58,52,41
female,group E,high school,standard,none,55,82,48
female,group E,high school,free/reduced,none,92,73,76
male,group A,bachelor's degree,standard,none,48,34,72
female,group C,associate's degree,free/reduced,none,54,84,33
male,group C,master's degree,free/reduced,completed,87,47,93
female,group A,bachelor's degree,standard,none,93,93,60
female,group B,some college,free/reduced,none,75,47,37
female,group E,associate's degree,standard,completed,47,86,45
female,group A,some high school,free/reduced,none,95,72,19
female,group E,master's degree,free/reduced,none,77,52,88
male,group C,bachelor's degree,standard,none,33,67,42
female,group E,high school,standard,none,29,88,44
female,group B,associate's degree,standard,none,45,31,22
female,group D,some high school,standard,none,93,87,57
male,group D,some high school,free/reduced,none,77,62,58
female,group C,high school,free/reduced,none,60,39,80
male,group E,associate's degree,standard,none,44,29,92
female,group E,high school,standard,none,74,94,42
male,group D,associate's degree,free/reduced,none,18,53,76
male,group D,associate's degree,free/reduced,none,60,34,93
male,group B,some high school,standard,none,44,43,100
female,group A,some college,standard,completed,76,43,78
female,group B,high school,standard,completed,83,47,30
female,group D,associate's degree,free/reduced,none,77,65,52
female,group E,some high school,standard,completed,54,29,88
female,group E,high school,standard,none,59,46,79
female,group C,bachelor's degree,standard,none,41,38,40
male,group D,master's degree,standard,completed,38,48,64
male,group B,master's degree,standard,none,8,79,28
male,group B,some high school,standard,none,91,91,93
male,group E,high school,standard,none,92,69,97
female,group A,master's degree,standard,none,33,49,62
male,group A,bachelor's degree,standard,none,95,82,55
male,group C,master's degree,standard,none,89,32,61
female,group C,master's degree,standard,none,57,58,48
male,group E,some high school,standard,none,67,50,66
male,group C,high school,free/reduced,completed,77,69,55
female,group A,high school,standard,none,99,43,84
male,group B,bachelor's degree,standard,completed,69,74,76
female,group E,bachelor's degree,free/reduced,none,61,54,33
male,group E,master's degree,standard,none,55,24,79
male,group C,master's degree,standard,none,51,24,19
female,group B,associate's degree,standard,completed,63,86,38
female,group D,high school,free/reduced,none,34,49,79
male,group C,high school,free/reduced,completed,92,99,60
female,group C,master's degree,standard,completed,63,29,10
male,group D,associate's degree,standard,none,83,29,99
female,group B,associate's degree,free/reduced,none,92,61,90
female,group B,bachelor's degree,standard,none,50,76,88
female,group B,bachelor's degree,free/reduced,completed,50,62,42
male,group D,master's degree,free/reduced,completed,81,54,97
female,group E,high school,free/reduced,none,33,99,90
female,group C,master's degree,free/reduced,completed,83,45,71
female,group D,bachelor's degree,standard,none,19,24,68
male,group D,master's degree,standard,completed,55,81,32
female,group A,some college,free/reduced,none,58,66,91
male,group C,associate's degree,free/reduced,completed,65,49,42
male,group E,master's degree,standard,none,60,40,61
male,group C,high school,free/reduced,none,42,40,52
female,group A,some high school,free/reduced,completed,23,48,78
female,group C,high school,standard,completed,44,49,79
female,group C,high school,standard,completed,51,49,52
male,group E,high school,free/reduced,completed,44,40,34
female,group E,bachelor's degree,standard,none,0,51,57
female,group C,some college,standard,none,70,31,27
female,group C,high school,free/reduced,completed,82,42,84
male,group E,high school,standard,none,35,38,96
male,group B,associate's degree,free/reduced,none,84,57,100
female,group D,some college,free/reduced,none,57,62,43
female,group C,master's degree,standard,none,94,77,82
male,group E,master's degree,standard,none,26,51,45
female,group E,master's degree,standard,none,32,59,22
male,group E,master's degree,standard,completed,72,34,47
female,group C,associate's degree,standard,completed,35,42,95
female,group D,master's degree,free/reduced,completed,99,89,97
female,group D,some college,free/reduced,none,45,71,45
male,group E,associate's degree,free/reduced,completed,67,43,94
female,group D,some high school,standard,completed,38,77,99
female,group A,some college,free/reduced,none,100,26,51
female,group B,bachelor's degree,standard,none,50,100,91
male,group E,some high school,free/reduced,none,74,99,85
female,group E,high school,standard,none,45,73,81
female,group A,bachelor's degree,standard,completed,62,69,93
male,group D,some college,free/reduced,none,32,26,78
female,group E,high school,standard,none,75,74,64
male,group A,high school,standard,none,81,71,58
male,group D,bachelor's degree,standard,none,49,64,92
male,group D,some high school,free/reduced,none,99,59,82
male,group E,master's degree,standard,completed,37,54,43
female,group D,high school,standard,none,54,65,40
male,group E,associate's degree,free/reduced,completed,34,77,88
male,group C,some college,free/reduced,none,91,31,44
female,group D,some high school,standard,none,72,80,96
male,group E,some high school,standard,none,49,75,60
female,group C,master's degree,free/reduced,none,80,29,46
female,group A,some high school,standard,completed,88,65,77
female,group D,some college,free/reduced,completed,55,71,44
male,group A,bachelor's degree,standard,completed,43,59,59
male,group C,some high school,standard,completed,18,73,36
female,group E,high school,standard,none,40,94,32
