Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID00572,Male,20,Computer Science,54.5,7.2,3.17,8.4,17,2.31
ID00028,Male,20,Business,67.2,1.6,2.54,7.8,9,2.07
ID03216,Female,21,Engineering,84.4,6.4,2.3,7.6,5,2.94
ID00302,Female,20,Engineering,53.5,6.8,2.18,4.9,12,1.93
ID03394,Male,22,Engineering,82.5,9.9,1.9,6.2,14,2.08
ID01765,Male,22,Computer Science,71.6,6.2,2.34,7.3,6,2.58
ID04581,Female,22,Engineering,70.4,7.9,1.78,7.4,17,3.65
ID02273,Male,19,Computer Science,45.7,6.7,2.95,7.2,7,3.12
ID01590,Male,21,Computer Science,60.1,4.0,2.25,6.9,7,2.81
ID02425,Female,22,Computer Science,47.7,4.3,2.98,7.9,3,2.24
ID03533,Female,20,Engineering,52.8,7.6,3.18,5.0,11,2.14
ID04528,Male,22,Business,58.0,8.0,2.19,8.4,7,3.53
ID02130,Male,20,Computer Science,60.0,8.9,2.01,4.7,14,3.25
ID04322,Male,22,Economics,62.1,8.4,2.4,7.9,12,2.97
ID01324,Female,20,Economics,57.1,3.5,2.71,8.5,11,1.53
ID04561,Female,22,Economics,46.7,6.8,2.02,6.8,9,1.95
ID01512,Male,19,Computer Science,52.6,5.9,2.29,7.2,13,1.94
ID04033,Male,21,Engineering,85.6,9.1,3.19,6.1,15,2.74
ID01449,Female,21,Engineering,72.3,4.1,3.23,7.0,13,2.88
ID00264,Male,21,Psychology,71.4,10.9,2.89,6.4,14,3.15
ID00829,Female,22,Business,61.6,8.4,3.03,6.7,13,3.27
ID01934,Female,22,Psychology,57.8,7.6,2.04,8.7,9,1.96
ID00978,Male,22,Business,57.7,4.1,2.76,5.8,11,2.64
ID01042,Female,23,Psychology,85.9,10.5,2.25,7.1,12,2.83
ID01467,Male,19,Computer Science,59.1,7.3,3.04,6.5,9,2.61
ID03412,Male,20,Economics,49.4,7.5,2.48,8.8,12,2.88
ID01250,Female,20,Computer Science,82.1,3.4,2.91,8.1,7,2.35
ID02371,Male,21,Psychology,41.9,8.6,1.91,7.7,6,2.39
ID03520,Female,22,Engineering,76.1,8.1,3.71,6.4,8,2.91
ID03451,Male,21,Psychology,66.2,9.4,2.72,7.7,12,2.54
ID04203,Male,19,Psychology,66.1,10.6,2.44,6.2,6,2.89
ID02661,Male,22,Psychology,53.1,4.4,2.65,7.3,16,1.74
ID01640,Female,22,Business,71.4,6.3,2.81,6.6,8,2.11
ID00511,Male,22,Computer Science,73.3,7.0,2.87,7.0,8,2.92
ID03456,Female,23,Economics,58.5,8.0,2.27,6.4,7,2.31
ID00981,Male,20,Business,62.9,6.1,2.49,7.3,5,3.22
ID03183,Female,20,Mathematics,44.7,6.3,2.3,7.4,5,2.93
ID00660,Female,20,Engineering,69.6,3.0,2.84,5.4,11,1.85
ID03462,Female,22,Economics,48.6,5.7,2.14,6.6,7,2.34
ID01116,Female,19,Economics,51.4,5.3,2.43,7.9,7,2.04
ID04430,Female,21,Computer Science,55.2,4.6,3.58,6.6,9,1.91
ID03841,Male,21,Computer Science,38.2,6.7,3.34,7.7,11,3.49
ID02841,Female,21,Mathematics,40.0,5.3,2.86,9.0,3,2.46
ID00457,Male,20,Business,46.1,8.6,3.28,7.8,3,1.67
ID04699,Male,23,Psychology,63.8,4.7,2.59,8.1,12,3.19
ID02913,Male,20,Psychology,70.7,6.3,2.02,8.2,6,2.73
ID04095,Female,19,Business,91.1,8.8,2.62,8.1,15,3.43
ID01423,Female,21,Economics,50.2,10.1,3.08,6.4,15,2.49
ID03209,Female,22,Computer Science,41.7,7.8,2.12,5.8,17,3.35
ID00193,Male,21,Computer Science,56.7,6.1,2.43,7.6,6,1.94
ID00629,Female,21,Economics,50.9,6.1,2.73,7.4,6,2.93
ID04689,Female,20,Computer Science,53.2,5.7,3.02,6.8,6,2.35
ID04795,Female,22,Economics,60.5,2.4,2.58,6.2,15,2.51
ID04526,Female,22,Engineering,69.7,9.8,3.18,6.7,7,3.22
ID01955,Female,19,Computer Science,60.2,8.5,3.58,7.9,7,1.87
ID03633,Female,19,Business,58.2,7.3,2.07,6.2,6,2.64
ID04389,Male,20,Mathematics,74.2,6.6,2.51,7.7,10,2.18
ID02597,Female,21,Business,56.1,3.7,2.32,7.3,15,2.26
ID03996,Male,22,Business,87.5,7.1,2.96,6.4,12,3.23
ID00085,Male,21,Business,68.1,4.7,2.68,5.3,11,3.25
ID04105,Female,21,Computer Science,74.7,9.5,2.78,7.5,12,2.33
ID04545,Male,23,Business,66.1,5.3,2.2,7.2,4,2.3
ID01467,Male,21,Business,66.5,6.4,2.25,7.3,7,1.85
ID02979,Female,22,Engineering,67.0,8.0,2.62,7.6,14,2.2
ID01936,Male,19,Computer Science,77.1,3.4,3.11,6.0,7,1.95
ID03148,Male,22,Engineering,81.9,4.6,2.64,5.8,9,2.15
ID00219,Female,21,Mathematics,49.2,7.6,3.03,7.3,13,2.05
ID02044,Male,20,Mathematics,57.7,8.6,2.32,7.5,10,2.22
ID00973,Male,20,Psychology,83.2,7.1,3.34,7.4,7,2.48
ID00965,Male,22,Business,55.0,3.7,2.75,7.4,10,3.01
ID01271,Female,21,Engineering,67.0,6.0,3.19,7.2,6,2.18
ID00023,Male,21,Psychology,71.4,12.4,2.59,6.6,9,2.97
ID01105,Male,20,Psychology,57.0,11.6,2.21,7.2,12,1.73
ID00136,Male,20,Computer Science,65.0,2.4,2.72,5.6,12,2.83
ID02612,Male,22,Computer Science,56.0,5.3,2.91,7.1,10,2.76
ID04428,Male,20,Psychology,88.1,10.2,3.09,7.0,9,3.43
ID03218,Male,20,Economics,53.4,11.5,3.3,6.5,15,2.25
ID01451,Male,21,Economics,54.1,12.8,2.25,8.3,14,2.93
ID00333,Female,21,Mathematics,83.1,6.9,2.59,7.2,6,2.04
ID01602,Female,20,Psychology,58.4,8.6,3.16,7.4,9,3.03
ID02228,Male,22,Economics,75.8,4.2,2.81,7.8,11,3.28
ID02419,Male,20,Engineering,61.4,7.1,3.38,7.6,11,2.56
ID02837,Male,22,Economics,72.6,5.5,2.3,8.2,4,1.99
ID02930,Male,20,Mathematics,56.8,6.6,2.1,5.3,9,2.82
ID04325,Male,21,Economics,57.6,10.7,2.28,8.1,18,3.15
ID01666,Female,21,Engineering,53.9,7.4,2.78,7.0,18,3.19
ID01823,Female,22,Economics,88.6,7.0,2.79,7.6,15,2.91
ID00363,Male,20,Mathematics,81.7,11.6,3.21,6.0,11,2.66
ID01119,Male,22,Computer Science,74.0,8.7,3.21,6.8,10,2.7
ID00843,Female,22,Psychology,66.1,10.3,2.73,6.1,13,2.31
ID03847,Female,20,Computer Science,65.8,8.9,2.54,6.3,8,3.25
ID01743,Female,19,Mathematics,72.4,6.4,2.77,8.7,11,2.48
ID02350,Female,19,Psychology,86.6,9.5,3.24,7.2,7,2.16
ID04234,Male,22,Engineering,44.1,4.8,2.7,7.3,12,2.37
ID00694,Female,21,Mathematics,90.4,5.5,2.67,5.7,11,2.19
ID03465,Female,21,Engineering,61.5,7.3,2.73,7.4,10,2.08
ID00607,Female,21,Business,43.8,7.4,3.46,7.1,9,1.63
ID00946,Female,23,Economics,82.7,5.0,3.55,5.6,8,2.2
ID00933,Male,22,Computer Science,44.8,4.6,2.36,7.3,4,2.43
ID01055,Male,23,Business,79.4,8.0,3.08,9.1,12,2.46
ID00690,Female,22,Economics,85.7,10.6,2.65,6.3,17,2.65
ID00249,Male,22,Business,49.6,8.8,2.32,7.1,4,2.0
ID03612,Female,20,Economics,75.3,5.9,2.56,7.3,10,2.67
ID04568,Female,21,Business,76.5,8.3,2.76,6.7,16,2.72
ID01839,Male,19,Business,50.4,11.5,2.39,5.8,16,1.96
ID01217,Male,20,Business,73.2,6.3,2.25,6.5,5,3.71
ID02208,Female,20,Engineering,69.6,8.0,3.73,7.7,11,2.06
ID02096,Male,22,Economics,75.3,4.6,2.43,6.1,11,2.02
ID02456,Male,22,Psychology,68.2,9.9,3.01,6.5,6,3.17
ID04672,Female,19,Business,53.7,6.7,2.85,6.8,14,3.28
ID02421,Male,21,Business,56.7,6.3,1.87,6.7,6,2.31
ID03261,Male,21,Economics,72.6,9.2,3.38,6.8,16,2.31
ID02999,Female,23,Mathematics,57.4,2.3,2.43,7.6,12,2.63
ID03970,Male,19,Psychology,71.5,8.9,2.43,5.9,9,3.19
ID03143,Male,21,Mathematics,69.0,11.2,2.31,4.9,10,1.67
ID01213,Female,22,Psychology,46.8,7.4,2.97,7.6,14,2.13
ID00536,Male,21,Psychology,78.2,7.9,3.11,7.1,5,3.3
ID01819,Female,20,Mathematics,59.6,8.0,2.87,7.7,9,2.15
ID00914,Female,19,Economics,49.9,5.4,3.4,7.8,9,2.37
ID02559,Female,21,Economics,77.1,7.5,3.24,7.0,12,3.14
ID02699,Male,23,Computer Science,50.4,9.6,2.67,6.9,11,2.96
ID02462,Female,20,Engineering,39.4,2.2,3.52,6.9,6,2.96
ID02213,Male,22,Business,74.0,5.0,2.08,8.2,12,2.74
ID02164,Female,22,Engineering,67.9,7.9,1.81,5.3,6,2.32
ID03421,Female,21,Economics,74.8,6.0,1.98,8.2,16,2.9
ID02568,Female,22,Psychology,30.0,4.3,3.03,7.4,12,3.19
ID00032,Female,20,Business,32.3,6.0,2.31,7.0,8,2.71
ID01002,Female,23,Psychology,60.9,7.6,2.81,7.7,7,2.38
ID01071,Female,21,Economics,63.3,9.9,2.68,6.8,15,2.57
ID01989,Female,22,Business,69.2,7.1,2.42,7.0,8,1.53
ID02210,Male,20,Mathematics,81.3,8.0,2.9,7.6,11,2.38
ID00222,Female,20,Psychology,44.5,11.4,1.92,5.7,5,2.27
ID04004,Male,22,Engineering,52.0,5.1,2.86,5.7,9,3.12
ID02909,Female,21,Mathematics,59.6,5.5,2.82,5.9,10,2.38
ID04124,Male,23,Mathematics,64.6,3.3,2.05,6.5,9,3.0
ID00543,Male,20,Psychology,59.1,5.8,2.49,4.6,15,3.2
ID00651,Female,20,Mathematics,57.6,2.1,2.12,7.0,8,2.04
ID01522,Male,20,Mathematics,56.7,5.6,2.95,5.6,15,2.1
ID03540,Female,19,Computer Science,50.4,7.4,2.86,8.8,14,2.1
ID02899,Female,20,Economics,68.6,9.3,2.94,8.8,5,2.6
ID03589,Female,22,Engineering,70.5,10.1,2.25,7.3,9,2.62
ID00125,Male,22,Mathematics,54.1,5.8,2.63,6.6,10,2.8
ID00941,Female,21,Engineering,55.7,7.6,2.17,7.7,10,2.39
ID00368,Female,20,Psychology,68.8,10.4,3.2,5.3,9,3.23
ID02512,Male,22,Engineering,70.4,8.2,2.02,7.9,4,2.34
ID01767,Male,22,Engineering,61.6,6.7,2.83,7.5,9,2.52
ID00828,Female,23,Mathematics,77.8,6.3,2.21,6.6,8,2.04
ID03246,Male,20,Economics,59.5,8.3,2.96,8.4,8,2.53
ID02532,Female,20,Computer Science,65.0,4.9,2.68,8.3,9,3.0
ID03576,Male,21,Computer Science,73.2,7.7,2.83,5.5,9,3.11
ID03498,Female,21,Mathematics,60.1,5.0,2.21,8.0,7,1.8
ID04258,Female,21,Engineering,60.0,10.8,2.76,8.8,6,2.61
ID03607,Male,21,Business,45.9,12.0,1.64,8.0,11,2.95
ID03077,Male,20,Engineering,54.6,5.4,2.19,7.3,9,1.91
ID02602,Male,21,Business,69.1,4.6,3.09,7.9,16,2.25
ID02869,Male,21,Mathematics,68.1,10.4,2.38,7.3,10,2.23
ID04149,Male,22,Psychology,60.2,5.2,2.84,8.2,15,2.22
ID04939,Male,21,Mathematics,58.3,12.4,3.12,5.8,16,2.69
ID04054,Male,21,Computer Science,50.0,5.5,2.82,6.9,9,1.95
ID03992,Male,19,Business,67.9,8.9,2.84,7.1,8,2.25
ID03838,Male,19,Computer Science,64.4,5.3,3.2,6.6,16,2.94
ID01783,Male,23,Computer Science,69.9,7.0,2.61,4.8,17,3.5
ID02753,Female,22,Mathematics,87.8,5.3,2.17,7.9,8,2.11
ID02109,Female,20,Mathematics,79.6,4.9,2.41,8.8,8,2.67
ID02172,Female,21,Engineering,76.1,3.3,2.56,7.2,12,2.28
ID01509,Female,20,Psychology,69.4,10.9,2.64,6.7,4,3.39
ID04478,Female,19,Psychology,59.8,7.6,3.05,6.8,7,2.9
ID00924,Female,22,Computer Science,62.1,10.8,2.21,7.9,8,2.38
ID03161,Female,22,Business,65.4,11.6,2.96,6.3,11,2.24
ID04066,Female,20,Business,47.8,11.5,3.08,7.3,8,2.2
ID02824,Female,23,Mathematics,77.9,4.7,2.74,5.7,10,1.91
ID03161,Male,20,Economics,65.8,7.0,2.68,8.2,8,2.88
ID03785,Male,19,Economics,55.7,3.3,3.6,6.5,11,2.15
ID00758,Female,22,Computer Science,72.7,3.1,1.87,7.0,13,2.99
ID01841,Female,21,Business,80.4,6.9,2.47,6.8,17,2.0
ID03355,Male,20,Business,43.6,5.3,3.07,7.1,14,3.06
ID02886,Female,21,Computer Science,64.2,6.9,1.92,7.3,7,2.52
ID00194,Male,20,Business,84.6,7.1,2.58,7.4,9,1.94
ID02683,Female,20,Psychology,55.1,1.8,2.4,7.7,10,3.18
ID02914,Male,22,Psychology,81.6,9.5,1.82,7.2,3,1.82
ID01434,Female,20,Psychology,46.0,5.4,2.64,5.6,9,1.78
ID01029,Female,22,Mathematics,46.7,6.4,2.61,7.3,12,3.14
ID02758,Female,20,Computer Science,69.0,4.9,2.06,6.5,14,2.21
ID02958,Male,22,Computer Science,71.6,10.8,3.09,7.9,9,2.01
ID00951,Male,22,Economics,68.6,6.1,2.7,5.5,14,3.12
ID02641,Male,21,Economics,62.1,4.3,2.83,8.1,6,2.46
ID04219,Female,20,Engineering,56.6,6.2,2.79,5.2,16,2.71
ID03349,Female,22,Computer Science,92.3,6.8,2.61,5.3,4,3.58
ID00035,Male,19,Computer Science,81.6,10.2,3.27,6.8,8,2.55
ID03920,Male,23,Business,88.4,4.6,3.06,8.1,7,3.1
ID00839,Female,20,Engineering,84.8,9.1,3.44,6.6,11,1.76
ID03701,Male,21,Mathematics,47.7,9.4,2.57,5.7,15,2.69
ID01270,Male,20,Computer Science,58.7,4.7,3.02,7.7,10,2.64
ID03467,Female,21,Mathematics,75.7,7.8,2.45,6.0,12,2.41
ID03390,Female,20,Mathematics,68.7,4.7,2.05,7.0,6,2.75
ID02598,Male,22,Engineering,40.9,7.8,2.1,8.7,9,3.35
ID01761,Female,21,Mathematics,47.6,5.9,2.48,8.2,11,2.54
ID01016,Male,20,Business,57.2,7.7,2.99,7.8,13,2.11
ID03396,Female,19,Engineering,68.5,7.1,2.9,7.6,10,2.66
ID01707,Female,22,Business,89.7,6.2,3.01,7.5,17,2.32
ID01939,Female,21,Economics,68.0,10.9,3.53,6.2,5,1.76
ID03326,Female,22,Computer Science,61.3,10.3,2.24,6.1,7,2.72
ID02865,Male,22,Engineering,74.4,9.3,3.34,5.7,11,1.67
ID03625,Male,20,Computer Science,57.8,8.1,3.4,7.8,12,3.2
ID02877,Male,21,Computer Science,63.5,3.9,2.74,7.5,13,2.47
ID00934,Female,21,Economics,63.6,5.8,2.14,4.8,13,1.72
ID03144,Female,21,Economics,68.6,5.9,2.69,7.6,15,2.45
ID01606,Female,21,Mathematics,64.0,9.3,2.39,6.7,8,2.62
ID04274,Female,21,Engineering,56.7,1.4,2.37,6.8,13,1.97
ID04385,Female,21,Business,47.2,11.0,2.46,7.1,6,3.08
ID02750,Male,22,Mathematics,66.2,3.5,2.82,7.1,13,2.41
ID00531,Female,22,Mathematics,55.4,5.7,2.35,7.8,12,2.41
ID03171,Male,22,Economics,54.6,5.3,2.26,6.9,6,1.72
ID03202,Male,20,Computer Science,70.7,3.8,2.76,6.8,4,1.92
ID01767,Female,22,Psychology,43.3,5.7,2.25,5.7,3,1.97
ID02066,Male,21,Computer Science,77.8,10.5,2.01,7.0,5,3.17
ID03152,Female,20,Mathematics,83.9,5.2,3.28,5.5,13,2.47
ID00573,Male,20,Economics,67.4,5.5,2.16,4.7,10,2.5
ID03978,Male,21,Business,86.9,6.2,3.05,5.7,13,2.38
ID04501,Male,21,Computer Science,55.7,3.2,3.09,8.1,6,2.67
ID01650,Female,21,Economics,40.8,8.4,2.41,8.7,11,2.57
ID02800,Female,22,Psychology,72.6,5.9,2.18,5.8,14,2.27
ID03478,Female,21,Computer Science,53.0,4.0,2.44,4.6,10,2.92
ID02708,Male,20,Mathematics,56.8,9.0,2.28,6.2,11,2.95
ID04961,Female,23,Mathematics,65.0,6.2,1.83,6.4,13,1.85
ID01140,Female,20,Economics,82.5,4.1,2.68,8.6,7,2.71
ID03261,Female,20,Business,52.6,7.0,2.63,5.3,10,3.22
ID00702,Female,22,Business,56.0,6.3,2.41,6.6,5,2.87
ID04194,Female,20,Mathematics,63.6,10.2,3.22,6.7,9,2.78
ID03307,Male,21,Computer Science,74.4,11.3,3.89,6.9,8,2.41
ID00123,Male,20,Mathematics,89.0,2.4,2.4,8.6,12,2.35
ID00454,Female,21,Engineering,40.5,7.0,2.78,7.6,8,2.59
ID03792,Male,21,Engineering,80.1,1.3,2.08,7.5,5,1.8
ID02747,Female,21,Business,47.7,6.3,1.73,8.8,3,2.92
ID03255,Male,20,Psychology,63.8,8.5,2.26,6.1,8,2.77
ID04668,Female,20,Economics,65.7,6.1,3.6,6.7,15,1.96
ID03392,Female,21,Economics,54.9,11.6,2.19,8.6,8,2.36
ID02697,Female,22,Psychology,72.5,11.0,1.58,8.0,10,2.63
ID01985,Male,21,Business,82.5,8.2,2.02,6.4,10,3.03
ID02343,Male,20,Business,40.7,10.6,2.9,7.0,16,2.96
ID04587,Female,22,Economics,66.5,3.7,2.41,5.5,6,2.76
ID00858,Female,20,Psychology,60.6,6.0,3.56,5.2,10,2.64
ID03184,Male,21,Business,67.5,4.3,3.2,9.2,11,2.12
ID03910,Male,22,Mathematics,83.0,8.9,2.79,8.2,13,2.27
ID03775,Male,21,Psychology,37.6,6.3,1.89,6.7,12,2.42
ID02670,Male,20,Business,39.1,10.9,3.05,6.2,13,2.56
ID03679,Male,22,Mathematics,64.6,3.1,2.26,6.0,5,2.92
ID03124,Male,20,Economics,74.8,5.0,2.64,7.6,14,2.69
ID04731,Female,19,Economics,61.9,9.2,3.19,7.8,4,2.18
ID02494,Female,19,Psychology,37.5,3.3,1.9,7.5,14,2.53
ID03809,Male,23,Mathematics,63.1,6.6,2.5,6.8,11,1.63
ID04274,Male,19,Engineering,53.9,4.7,2.65,5.1,8,2.25
ID04789,Male,20,Engineering,77.2,6.9,1.85,8.4,15,2.97
ID02236,Male,21,Mathematics,72.1,2.3,3.14,7.1,13,3.13
ID03361,Female,19,Economics,57.6,5.5,3.37,7.9,7,1.74
ID01048,Male,22,Psychology,59.7,8.2,1.77,5.7,13,2.67
ID01341,Female,21,Business,68.5,7.4,2.25,7.4,11,2.85
ID04599,Male,23,Computer Science,78.9,2.7,2.69,6.0,10,2.84
ID03433,Female,22,Psychology,68.4,6.7,2.96,6.8,17,1.67
ID02929,Male,21,Engineering,76.9,8.0,2.06,8.0,11,3.4
ID01899,Female,20,Business,56.6,10.1,1.8,6.1,8,2.97
ID03451,Female,20,Economics,50.9,7.5,3.21,7.4,3,2.65
ID02429,Male,21,Engineering,46.6,7.2,3.46,7.4,6,2.21
ID04280,Male,21,Mathematics,66.2,6.4,2.97,9.1,15,1.61
ID02674,Male,20,Economics,71.5,7.7,2.67,6.5,5,2.47
ID00863,Female,21,Psychology,58.8,9.4,2.55,6.7,13,2.11
ID04679,Female,22,Economics,80.0,2.2,2.3,8.4,9,2.29
ID01852,Male,20,Engineering,84.0,7.2,2.26,6.2,5,2.06
ID00123,Female,22,Psychology,62.9,8.1,3.4,6.3,3,3.5
ID00515,Male,22,Business,59.5,3.9,2.27,7.4,5,2.54
ID02361,Female,23,Psychology,73.1,7.7,2.69,6.5,8,2.73
ID04233,Male,19,Mathematics,72.9,9.5,2.51,6.2,8,2.87
ID04088,Male,20,Psychology,76.3,12.6,2.93,6.3,15,2.69
ID03887,Male,21,Business,37.7,3.0,3.68,8.8,7,2.84
ID03245,Male,21,Engineering,46.0,6.7,1.81,6.2,7,3.12
ID04563,Male,20,Mathematics,61.4,12.0,2.23,6.1,12,2.6
ID02574,Female,20,Engineering,65.2,6.9,3.33,6.5,5,3.7
ID01735,Female,19,Mathematics,72.8,6.0,2.39,6.9,16,3.22
ID01567,Female,21,Computer Science,45.5,8.5,2.04,8.5,11,2.54
ID04144,Male,22,Engineering,48.8,5.3,1.97,7.0,8,2.49
ID01379,Male,20,Engineering,75.3,8.5,3.22,6.6,3,2.09
ID04852,Male,19,Psychology,59.0,9.9,2.38,6.0,4,1.95
ID04964,Female,21,Economics,69.4,4.3,2.09,5.8,14,2.21
ID02917,Male,22,Psychology,70.4,8.1,2.44,6.7,6,2.06
ID04970,Female,21,Mathematics,63.8,8.6,1.88,7.5,11,2.24
ID00991,Female,19,Engineering,71.7,5.5,2.97,5.6,15,3.64
ID04436,Female,19,Computer Science,65.8,10.6,2.48,6.5,11,2.91
ID01307,Female,21,Psychology,67.2,3.8,2.53,8.0,9,2.82
ID03391,Female,21,Psychology,80.8,5.0,2.62,7.1,7,2.18
ID00522,Female,22,Engineering,45.7,8.2,2.57,6.1,8,2.93
ID01881,Male,20,Computer Science,55.7,5.7,2.65,8.1,7,2.07
ID02702,Male,21,Computer Science,71.7,8.6,3.42,6.5,3,2.88
ID00193,Male,21,Business,62.7,4.2,2.37,8.4,13,3.6
ID02839,Male,21,Business,86.2,5.8,2.5,7.4,10,3.02
ID01447,Female,21,Engineering,69.3,7.2,2.53,7.7,18,3.0
ID03817,Male,19,Psychology,89.3,3.5,2.21,8.0,11,2.31
ID02677,Female,20,Mathematics,76.4,6.2,2.53,6.1,14,2.78
ID01387,Female,21,Economics,34.0,7.6,2.32,7.7,16,2.27
ID00953,Male,20,Business,52.8,6.7,3.43,5.1,13,3.18
ID02694,Female,23,Mathematics,44.3,8.9,2.83,7.4,7,2.75
ID02107,Female,21,Engineering,74.4,7.5,2.59,8.6,8,2.26
ID01977,Male,21,Psychology,45.8,8.6,3.72,7.7,5,2.63
ID04382,Female,20,Engineering,75.2,8.6,2.29,7.2,1,1.67
ID00271,Female,21,Economics,55.6,4.9,2.28,6.9,15,1.81
ID02846,Female,20,Engineering,53.9,9.0,2.84,6.3,6,3.22
ID03459,Male,22,Engineering,77.2,9.0,3.1,8.2,15,2.94
ID02476,Female,20,Psychology,73.4,7.2,1.64,6.3,12,2.52
ID00345,Male,22,Business,63.3,9.4,2.1,7.5,6,1.98
ID02095,Female,19,Economics,38.1,10.0,2.22,6.8,7,2.67
ID04878,Male,21,Engineering,58.1,2.2,3.49,6.1,9,3.06
ID00157,Female,22,Economics,68.1,10.1,2.49,8.5,10,2.19
ID03834,Male,22,Computer Science,60.1,10.4,2.94,6.0,12,2.62
ID02516,Male,21,Computer Science,59.4,11.8,3.07,8.1,12,2.07
ID00398,Female,20,Mathematics,47.1,9.1,2.44,6.6,5,2.88
ID00345,Female,20,Economics,51.7,9.5,1.92,7.2,11,2.52
ID02020,Female,20,Economics,45.8,8.1,3.2,7.4,8,1.93
