Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Female,21,Psychology,46.78256,7.4558773,1.9148625,5.6373606,10,3.514413
Female,20,Psychology,53.544132,6.593375,2.024783,7.6811543,11,3.7116508
Male,21,Business,59.485928,3.9890585,3.0342524,6.969942,11,1.974156
Female,22,Psychology,53.345455,6.7673926,2.3646517,6.2497034,12,2.9481173
Female,20,Business,79.2797,5.7832813,2.9631143,5.8193455,9,2.0604682
Male,23,Computer Science,57.06613,9.678169,2.715441,5.5737677,10,2.3368921
Female,19,Psychology,39.140106,3.5695465,2.2374876,6.470722,6,3.5413206
Female,20,Business,80.25169,8.2097225,3.0505335,6.6030884,5,3.2231305
Female,22,Psychology,77.27466,6.9426856,2.679599,6.515728,8,2.800761
Female,20,Computer Science,58.54188,8.236039,2.7938683,4.9671345,10,2.566084
Female,19,Engineering,79.31216,4.5917435,2.9770532,7.3405666,8,3.69456
Female,20,Computer Science,35.89893,4.458618,2.9092443,6.0153513,9,2.8267527
Male,21,Computer Science,72.532196,5.87392,3.1026978,4.9259124,9,1.9008031
Male,22,Mathematics,80.98074,7.0279927,3.082668,7.1180735,12,1.8737772
Male,21,Engineering,61.748135,7.277318,2.8518045,7.866616,12,1.8926842
Female,22,Computer Science,43.920544,8.821651,2.581354,5.3291826,11,2.9822266
Male,21,Engineering,43.45709,9.523345,2.140585,6.8212266,15,2.4143147
Male,23,Computer Science,57.320892,11.249974,2.6693773,6.3790097,12,2.2729557
Female,22,Psychology,59.704735,8.635811,2.6396883,6.1751847,9,2.843793
Female,19,Engineering,55.037323,5.2418337,2.655486,6.6920795,8,3.100273
Female,20,Psychology,38.59418,7.3760295,2.2642484,7.3687105,10,2.7115645
Female,21,Psychology,52.5658,6.585164,2.3222966,5.7715263,6,3.352558
Male,21,Engineering,62.709812,6.592901,2.8183455,8.972006,10,2.510946
Male,22,Psychology,75.40159,9.673594,2.6558852,4.8604774,11,2.2842395
Female,20,Engineering,74.123764,4.403235,2.4321434,8.452837,6,3.2350733
Female,23,Psychology,49.486946,10.137874,2.1487336,7.3098726,13,2.2895093
Male,21,Economics,62.40444,6.283487,2.543811,8.349119,13,1.9400437
Female,21,Engineering,77.691765,9.414782,2.6975636,6.1457176,9,3.1683097
Female,23,Psychology,56.990765,3.9046674,2.8111475,6.674268,8,2.963466
Male,21,Psychology,90.656235,8.754888,2.9911242,6.2080507,5,1.7293229
Female,19,Computer Science,72.56616,2.9536734,2.663876,6.7790008,8,2.9551113
Male,21,Mathematics,46.045284,7.6807575,2.6722317,7.975601,15,1.8219744
Female,19,Business,41.591125,4.2040043,2.4621918,7.315694,10,3.76008
Female,19,Psychology,74.73473,7.2244744,2.6438491,6.545098,12,3.2423
Female,21,Engineering,46.36875,9.273952,2.4797673,6.7086,6,3.1633053
Female,20,Psychology,45.48225,9.145974,2.0066361,6.259507,12,3.3419268
Female,19,Engineering,73.80903,8.040408,2.541315,7.873089,10,3.2710793
Female,22,Computer Science,64.835434,7.110318,2.2156827,7.9021473,10,3.624324
Male,21,Computer Science,44.984447,5.072863,2.458318,6.6530952,9,3.4719532
Female,21,Computer Science,55.821754,4.9815855,2.9194243,4.9928904,11,2.4330041
Male,21,Mathematics,56.656544,9.184589,2.9314103,5.833736,14,2.4074624
Female,21,Engineering,60.473972,6.9234295,2.5571084,8.324734,7,2.674517
Male,22,Psychology,68.94631,6.4674377,2.7641711,6.428133,10,2.4051282
Male,23,Psychology,52.43567,11.453284,2.6566684,6.6780357,11,2.391616
Male,22,Psychology,91.43927,10.346847,2.8207066,5.353253,9,2.1343985
Male,21,Computer Science,69.090744,4.8032064,2.816248,6.1241264,10,2.3919973
Male,21,Engineering,83.47934,9.24513,2.919922,7.560356,8,2.2562973
Female,19,Engineering,38.7837,3.8623793,2.4534438,6.926222,8,3.1433377
Male,23,Computer Science,75.58249,4.8798103,2.5725245,6.1597586,12,2.7325613
Female,21,Engineering,83.53919,8.7761135,3.081381,7.3669424,5,2.3957098
Male,21,Business,74.35566,3.7537436,2.7976472,7.00957,9,2.8461757
Female,19,Psychology,60.778973,4.813245,2.441349,5.4107842,7,3.6536086
Male,22,Psychology,89.95309,10.939748,2.9711566,6.5639234,10,1.8770913
Female,22,Business,54.055073,6.8587885,2.5833466,6.4270005,6,3.0658572
Male,21,Psychology,65.5401,6.8757467,2.7586026,7.152055,9,1.6543015
Female,21,Mathematics,46.108345,8.020938,2.925012,6.0485077,12,3.0222976
Female,21,Psychology,84.01094,10.040558,2.5779278,5.826474,11,2.744457
Female,19,Computer Science,76.081055,6.1302156,3.3217537,6.364131,7,2.7441137
Female,19,Computer Science,79.60513,4.3062444,2.9396586,7.367044,7,3.0039988
Female,21,Computer Science,59.170364,2.3104727,2.4916203,6.2287664,7,3.1482916
Female,20,Computer Science,50.42024,6.250797,2.6893697,5.427326,6,2.9983723
Female,21,Psychology,44.67589,6.778213,1.9747733,6.665559,9,3.3640244
Female,19,Psychology,61.08097,4.9595604,2.3450646,6.418438,10,2.8931148
Male,23,Computer Science,71.68807,9.938545,2.5990877,5.2540703,13,2.0840213
Female,20,Business,42.68744,4.3552814,2.7003217,6.8230634,8,3.5413523
Female,19,Business,77.12837,5.807225,3.1324577,7.2817082,8,1.9872917
Male,23,Psychology,62.298393,5.5052543,2.5337958,7.805201,14,1.4354235
Female,22,Engineering,69.09944,9.237889,2.2074077,9.073729,9,2.8935132
Female,21,Psychology,43.20494,10.701252,2.3357937,4.702624,10,3.2838476
Female,20,Engineering,46.928577,8.045716,2.2994878,6.6973443,10,3.323523
Female,21,Engineering,30.873407,4.490795,2.4469287,7.978282,11,2.3250606
Male,23,Engineering,67.939896,11.585385,2.7039824,8.473049,12,1.7104162
Male,21,Mathematics,71.558174,4.876544,3.292362,8.695163,10,1.6052016
Male,21,Mathematics,40.94113,4.9610868,2.268925,8.14735,13,3.0968301
Male,21,Computer Science,35.93663,10.148906,2.5603118,6.210112,13,2.5849333
Female,21,Business,86.03215,7.6241436,2.8728237,7.834495,7,1.753169
Female,21,Mathematics,71.629814,9.339611,2.3481815,8.163832,11,3.2067807
Male,20,Business,39.7428,7.9255533,2.3250577,5.6806545,11,3.1194963
Male,23,Mathematics,51.41611,9.081322,2.2180283,6.424555,13,1.9951317
Female,23,Mathematics,49.427864,7.3640966,2.5044222,5.59566,13,2.6041625
Female,22,Engineering,73.68442,8.598504,2.4555209,7.6167774,8,2.7070122
Male,22,Psychology,60.18301,9.172108,2.425489,5.605466,12,2.1602318
Male,23,Business,55.709877,8.686448,2.5335777,6.7793827,10,3.268148
Male,20,Business,50.542484,5.0687203,2.6696079,7.057394,5,2.8795204
Female,19,Business,39.968887,4.425389,2.652078,6.327631,8,3.584696
Male,22,Computer Science,65.25856,6.3310018,2.5542057,7.3108625,9,2.7687464
Female,22,Psychology,56.28888,5.551792,2.3794265,5.6673203,9,2.6514235
Female,20,Business,78.86075,3.5923996,3.2836046,7.820599,9,2.2792015
Male,21,Engineering,86.12397,9.899593,2.9228895,7.693312,11,1.6962172
Male,22,Computer Science,57.581074,7.4352636,2.608334,6.1644473,10,2.80809
Male,23,Psychology,83.44126,9.363733,2.7819047,7.062339,12,1.6621367
Female,20,Engineering,41.571213,3.198601,2.5926287,7.181767,10,3.214907
Female,19,Business,71.764496,6.1496468,2.6880136,6.278585,6,3.670904
Female,20,Engineering,49.98225,6.8700943,2.5558245,7.370656,8,2.999209
Male,22,Engineering,43.1323,4.547756,2.2503173,8.472128,9,3.180063
Female,21,Psychology,80.19898,5.6799536,2.795465,6.3974,9,3.1871583
Female,22,Psychology,58.000515,7.6613584,2.8933313,5.2487264,8,2.5123851
Female,21,Computer Science,66.50578,5.039873,2.957861,7.241967,9,2.858907
Male,20,Engineering,79.24163,5.093584,3.3364725,8.773932,11,1.9317944
Male,20,Engineering,64.6368,7.704226,2.3621109,8.7009,11,2.8456366
Female,19,Economics,49.454746,3.8863053,2.5398924,6.451085,10,3.4779546
Male,23,Psychology,43.16057,10.989227,2.0705197,6.0864124,15,2.09301
Female,20,Business,83.36749,5.4489937,3.107106,7.741308,6,3.0584326
Female,22,Computer Science,32.66888,6.031873,2.5503328,5.4325213,11,2.5240626
Male,24,Psychology,46.940395,10.253148,2.3995802,5.5396624,13,2.3365672
Female,20,Psychology,66.932915,7.2543154,1.9667964,7.6054163,11,3.0902324
Male,21,Mathematics,60.25661,8.0760765,2.3870916,6.028227,10,3.4571247
Male,21,Mathematics,86.58316,9.423861,3.2532814,8.303148,11,1.4342648
Male,23,Engineering,44.483585,9.383274,2.311092,7.4422636,14,2.9253447
Male,22,Business,79.905426,3.3341548,3.446068,5.6354322,5,1.7548472
Female,22,Mathematics,77.997086,3.1500888,3.1600971,7.2339287,8,2.562184
Female,21,Business,63.6165,6.908552,2.8154128,5.1922765,6,2.7989879
Female,21,Business,69.64477,3.4770277,2.732701,7.5198507,9,2.6490502
Male,19,Computer Science,80.03119,7.3472266,2.6925776,6.218889,11,2.3307247
Male,21,Computer Science,53.956554,4.2833195,2.88457,6.7684865,8,2.0094616
Male,23,Psychology,55.62157,5.560859,2.8491147,5.215803,8,2.3070738
Male,23,Psychology,47.543175,9.192187,2.3409536,7.0278044,11,2.3555958
Male,21,Computer Science,61.258232,8.911773,2.5837164,7.055065,12,2.1031487
Male,20,Computer Science,61.418316,7.212937,2.8946095,5.3031306,12,2.1885657
Female,21,Business,59.45945,4.6509466,2.8052974,6.4152822,10,3.563446
Male,22,Computer Science,47.663315,8.810601,2.6330028,5.4475617,15,2.232977
Female,22,Computer Science,61.58324,9.2702465,2.3112798,4.9625893,8,2.914415
Female,21,Business,88.17139,5.02989,2.8213236,8.08581,9,2.426513
Male,21,Economics,78.41874,7.95414,3.1148067,6.314462,11,1.6686758
Female,21,Engineering,64.785286,8.885943,2.3837776,8.712464,8,3.2070417
Male,21,Mathematics,65.54993,9.650999,3.2716637,6.2380714,12,2.6304536
Female,20,Computer Science,49.482334,7.109334,2.8836722,5.0907865,9,3.060618
Male,22,Business,74.03259,7.1033936,2.8594887,6.3035736,9,2.10221
Male,22,Mathematics,66.93691,10.08318,2.748164,7.9284153,15,2.1412811
Male,21,Computer Science,59.01084,7.3711,2.8193786,7.3469925,10,2.9283714
Female,18,Engineering,79.83158,5.1051617,2.602089,7.3645663,10,3.0880656
Female,21,Business,79.57766,7.0554295,2.7074795,6.542486,6,3.0754838
Female,21,Business,89.48177,5.311436,2.8562286,7.2763615,6,2.9049294
Female,21,Engineering,43.06324,7.7297015,2.1021686,7.9783535,11,3.4861476
Female,22,Computer Science,43.763664,7.46146,2.9112961,4.8584576,8,2.7992373
Female,21,Computer Science,56.442543,5.182682,2.604572,5.901545,6,3.6660452
Male,23,Mathematics,48.117844,7.9097943,2.7249866,6.3117533,10,2.3724494
Female,19,Business,90.35137,6.713638,3.1415162,8.205728,9,2.0459223
Male,19,Engineering,75.77978,4.227138,2.4939158,8.943844,14,2.2216702
Female,19,Computer Science,76.553604,8.191963,2.5487978,6.9858446,9,2.6639154
Female,20,Mathematics,63.636234,5.0507073,2.162171,8.316646,10,3.6316574
Female,20,Business,59.169178,7.235183,2.5110106,5.8561935,9,3.1038764
Male,22,Psychology,46.572807,8.310769,2.287252,5.4677544,12,2.8886976
Female,20,Engineering,80.034294,4.3804693,2.5577493,7.9545207,5,3.051471
Male,21,Mathematics,60.440857,9.241336,2.4144874,5.894164,11,2.6505668
Female,20,Engineering,74.949554,6.252005,2.7861688,8.466614,10,2.7104087
Male,23,Mathematics,80.38136,9.689999,2.9427547,8.147654,11,2.0070717
Male,19,Engineering,54.59377,5.600991,2.1849768,8.1534,12,2.8747478
Male,21,Mathematics,55.332382,6.288092,2.90795,7.356862,11,2.3017187
Male,22,Mathematics,68.79396,6.0747247,2.645113,5.651663,13,2.800936
Female,19,Engineering,76.84083,7.4311996,2.6653085,7.6684866,9,2.6158524
Male,23,Psychology,73.688614,9.838442,2.6617782,7.4181733,12,1.4495753
Female,20,Engineering,57.622627,7.3911076,2.8851416,5.9884734,8,3.217917
Female,22,Computer Science,47.61556,10.00259,2.2339175,5.537896,9,2.998002
Male,21,Mathematics,82.564384,7.49676,2.8263657,8.197119,13,1.6031051
Male,21,Mathematics,78.874374,9.423598,3.0174415,8.263172,13,2.7285292
Female,23,Psychology,49.854218,7.765302,2.3793948,6.6045914,14,3.0631533
Female,20,Mathematics,41.56406,9.227221,2.9447436,5.8497944,11,3.1036377
Female,19,Engineering,58.53512,5.210013,2.9973319,6.6132593,5,3.6571896
Male,20,Economics,79.4103,5.490191,3.0103223,8.173819,8,2.6674836
Male,21,Economics,68.720314,7.2127194,2.8365932,8.381907,15,1.6278796
Female,18,Psychology,53.589184,4.223822,2.6959841,5.3350134,9,2.7588437
Female,20,Computer Science,57.30564,6.130796,2.3551984,5.4629383,9,3.3418221
Female,19,Mathematics,50.159046,4.4544544,3.0455508,5.2140307,10,2.7287836
Male,22,Psychology,77.44996,5.8744965,2.7149174,7.763274,11,1.4867615
Male,21,Psychology,74.5483,6.2246084,2.2622883,6.1608396,10,3.4493186
Female,21,Engineering,44.033134,10.761488,2.397399,7.387569,12,2.510303
Female,22,Business,88.517426,7.762653,2.8521314,6.6356297,8,2.4274795
Male,21,Engineering,64.64855,4.3977404,2.635526,8.927472,14,1.833864
Female,22,Computer Science,58.483383,7.130245,2.8681378,4.820253,7,2.4218512
Male,21,Engineering,56.102867,7.874124,2.2775743,7.6970396,14,2.3365958
Female,21,Economics,85.89545,3.7153325,2.7795234,6.649754,8,3.065465
Male,23,Computer Science,79.37537,7.690093,2.7620716,6.322425,9,2.7118728
Male,20,Mathematics,75.154945,6.1596694,3.2433112,5.3660502,10,2.242437
Male,20,Business,77.25202,7.2017326,3.067315,6.2289705,9,2.284923
Male,22,Psychology,51.495678,8.306991,2.002859,6.7966843,12,2.8882244
Male,23,Computer Science,69.80414,11.476821,2.5181863,6.857071,11,1.7986736
Male,22,Computer Science,78.24299,8.577226,3.1642559,5.874925,9,1.5498649
Male,22,Economics,64.14125,6.214297,2.316168,8.476007,10,2.5179822
Female,19,Psychology,48.452682,7.708906,2.2840006,6.8223457,8,2.5806355
Male,22,Psychology,57.93887,5.5130777,2.6755564,7.072727,9,2.9847336
Female,18,Business,75.81632,5.3442674,2.9093485,5.638106,7,2.6169322
Male,23,Psychology,57.96412,9.47177,2.1066797,7.4031534,9,2.2081997
Female,20,Engineering,40.432117,5.2979264,2.10717,8.798685,12,3.2222273
Female,20,Psychology,83.77652,8.707856,2.6732109,5.6862984,11,3.1131504
Female,21,Computer Science,47.70515,5.043543,2.4386253,7.4328203,8,3.2341402
Female,20,Psychology,46.114105,2.5170348,2.2291934,6.2531376,5,3.6386664
Male,21,Engineering,65.3612,6.799485,2.9160435,8.039083,9,2.18865
Female,20,Business,37.730453,4.479277,2.5495303,6.727683,9,3.5921323
Female,21,Business,84.97177,6.317149,2.959351,5.916127,9,3.4524367
Female,20,Economics,44.136204,4.1439548,2.8902411,7.011925,8,2.7134218
Male,22,Mathematics,70.24631,6.9190497,3.1489463,5.462996,14,1.6944429
Female,19,Mathematics,67.83679,10.805514,2.8594007,5.7878485,9,2.283469
Female,19,Business,45.637486,3.1815615,3.1235878,6.6832075,6,3.1087303
Female,21,Business,75.40491,3.0323586,2.8841567,5.3505096,5,3.1153293
Female,22,Psychology,65.95273,8.977148,2.398647,6.624465,15,2.5721765
Female,20,Psychology,34.889572,6.0817437,2.5018942,6.8169065,13,2.3536305
Female,21,Psychology,73.2382,8.136401,2.8692243,4.9497523,10,1.931956
Female,23,Mathematics,63.657745,6.897229,2.9474583,6.327381,12,2.4842465
Male,19,Business,68.17316,5.336316,3.3806431,6.467227,5,2.7417562
Male,23,Mathematics,76.7053,9.185231,2.5613744,8.147121,16,1.5087006
Female,20,Mathematics,57.176044,5.9030776,3.2035422,7.085614,12,2.097136
Female,20,Engineering,76.31866,5.7930255,2.6351755,8.921698,6,2.6311738
Female,19,Business,76.41899,3.5347853,2.927485,6.184452,8,3.3257132
Female,20,Business,84.576706,5.2152734,3.215913,6.532804,7,1.9615729
Female,20,Mathematics,46.557983,8.001747,2.6226215,4.6315618,9,2.6541898
Female,19,Psychology,54.273926,3.5141265,2.2670069,6.6586347,8,3.2424967
Female,21,Business,60.438282,5.6774926,2.5994477,7.4969745,9,2.804384
Female,22,Business,60.631645,5.463694,2.698471,5.4104815,6,2.411767
Male,21,Mathematics,57.819622,7.492647,2.9705272,7.090808,8,1.4532648
Female,21,Computer Science,85.35978,7.638511,2.769055,5.6693783,7,3.379355
Male,23,Psychology,46.916786,9.732802,2.28396,6.7158165,13,2.5854466
Female,21,Psychology,81.22111,8.974838,2.4819815,6.271939,11,3.340077
Female,22,Mathematics,45.97553,8.757771,2.3488421,5.8032923,12,2.451619
Female,21,Business,85.840935,5.9154096,2.729089,8.113639,8,2.4383943
Female,19,Engineering,47.2747,7.256589,2.3772979,7.8214083,9,3.2186906
Male,22,Engineering,73.78489,9.9634,2.8270478,6.4772387,12,1.9745172
Male,23,Psychology,36.284424,6.9616585,1.7377299,7.8859534,11,3.1844287
Female,21,Psychology,59.08594,9.047301,2.4132829,5.1150236,13,2.9224532
Male,22,Mathematics,87.35015,8.622032,3.0997958,7.814156,12,1.5697961
Male,20,Computer Science,70.54001,5.510473,3.2599843,5.6979775,7,2.50824
Male,20,Mathematics,67.52753,7.3225927,2.9899452,6.4647675,11,2.3612144
Female,19,Business,83.49744,5.301006,3.131606,7.744094,6,2.158641
Female,22,Psychology,42.481815,6.75198,2.2140167,5.1415954,10,3.2674909
Male,21,Mathematics,46.40903,9.416461,3.1478581,7.446809,14,1.610294
Male,20,Engineering,35.513794,4.2958326,2.1249304,8.168703,14,3.0308936
Male,19,Engineering,63.47382,3.0023992,2.3803656,8.889972,12,2.3772151
Male,22,Computer Science,59.41359,6.967692,2.6521978,4.947031,12,2.8392744
Female,20,Computer Science,64.26985,9.130575,2.701143,5.4889736,11,3.0269084
Female,22,Mathematics,56.03478,9.991042,2.7633994,6.5395103,13,2.6662176
Female,21,Mathematics,45.7555,3.2830098,2.8909326,8.502258,7,2.7393668
Female,21,Psychology,45.324875,6.2887206,1.9409024,8.664405,8,3.3264675
Male,23,Engineering,80.27685,8.385088,2.6783702,8.62651,12,2.2952917
Female,20,Engineering,56.322582,5.6577845,2.3793044,8.910315,8,3.0202017
Female,19,Business,46.395714,3.9534726,2.6101906,4.965531,8,3.4923942
Female,21,Engineering,44.29245,6.532738,2.476028,7.8622236,11,2.4376638
Male,21,Mathematics,82.63916,7.418984,2.9137712,5.7330713,10,2.1658618
Female,20,Business,91.05808,3.7457647,3.5040574,6.8268175,7,2.3005612
Female,21,Computer Science,50.93996,9.834179,2.674329,5.9916015,13,3.3756776
Female,19,Computer Science,54.169315,5.323597,2.3566754,6.311496,9,3.2607133
Male,20,Mathematics,74.86704,7.43987,3.0863676,8.368341,10,1.9282954
Male,21,Psychology,63.827736,5.9859076,2.1136208,7.742508,9,2.4760003
Female,22,Business,75.08347,6.7001247,2.8748484,7.0134106,10,2.8304453
Male,20,Computer Science,53.51306,8.297683,2.345526,6.159034,12,2.3844848
Female,19,Psychology,39.114296,3.7437015,2.163799,6.8341293,8,3.359451
Female,23,Psychology,58.117165,5.5805006,2.4336886,8.554072,7,2.6496084
Female,21,Psychology,64.36496,8.909833,2.263954,5.8485355,15,2.7658474
Female,22,Business,45.96687,9.028839,2.6207852,6.205888,11,3.358715
Female,22,Psychology,72.210915,4.90842,2.3243341,6.446201,9,2.98696
Male,21,Computer Science,42.239002,8.77119,2.107146,6.2973475,13,3.5104146
Female,19,Business,86.351204,5.6269946,3.3493452,5.568851,10,1.9522907
Female,20,Mathematics,46.394974,5.1226306,2.7467465,8.065714,7,3.203863
Female,20,Engineering,69.81544,6.140748,3.0856218,7.9964747,6,2.8515656
Male,21,Mathematics,75.42528,5.117932,2.535264,8.367041,9,2.7099903
Male,22,Mathematics,42.633728,3.6906424,2.5113986,8.958429,12,2.918322
Female,22,Mathematics,60.592384,8.7218685,2.6391609,6.202468,12,1.9930032
Male,23,Engineering,49.453426,8.050296,2.4272316,8.800149,10,2.4870834
Female,21,Mathematics,39.10092,7.4674034,2.6326222,5.3970757,12,2.5563412
Male,23,Mathematics,76.78838,5.44586,3.2095072,6.5172253,9,1.989152
Female,19,Economics,44.444843,4.141625,2.312265,7.753953,9,2.7536616
Male,20,Engineering,77.989395,8.797891,2.4954123,7.857774,11,2.7321577
Female,20,Business,84.48583,8.018042,3.0906157,6.653754,6,1.771056
Female,20,Mathematics,58.068447,4.473716,2.8840003,7.6949854,8,2.9310029
Female,20,Engineering,63.818268,3.2831979,2.4263136,8.026907,6,3.1134222
Male,22,Engineering,65.09995,7.196191,2.5697901,7.244595,11,2.6367028
Female,20,Engineering,67.747116,7.96548,2.343775,7.7550015,12,3.0893521
Female,21,Business,60.53848,6.761339,2.7237856,5.968935,8,3.5029588
Male,23,Psychology,45.03437,9.212853,2.3835132,5.7838244,13,2.4023933
Female,21,Business,67.53117,7.0178876,2.8454206,5.669063,8,2.2709923
Female,19,Engineering,80.29832,7.4382434,3.1091251,6.651042,7,2.3827052
Female,19,Mathematics,85.45593,5.7936187,2.997308,7.6987314,10,3.203122
Male,24,Mathematics,32.12822,11.659672,2.1533792,7.2913027,13,1.7281276
Male,23,Mathematics,48.051723,5.8086143,2.7067885,7.6927757,10,3.1918528
Male,22,Engineering,80.63209,6.9774747,3.027999,7.3619785,9,2.0411975
Male,21,Business,93.63856,8.109063,3.3123143,7.673142,11,1.7454042
Male,23,Mathematics,72.02142,9.31491,2.3312705,5.6358175,10,2.231883
Female,19,Business,71.66427,7.656846,2.630213,5.7328615,6,3.5083642
Male,22,Computer Science,68.27878,10.507179,2.6616416,5.8284893,12,2.0215616
Female,21,Engineering,32.23433,6.071539,2.4025822,6.6413946,13,3.1113882
Female,22,Psychology,56.605053,5.1228695,2.9641778,5.178004,8,2.6388257
Female,19,Psychology,62.062954,5.061866,2.5841217,6.166175,6,3.3027272
Male,23,Computer Science,81.26343,10.1270485,3.0408869,5.790781,9,2.367577
Male,21,Psychology,81.88706,6.568859,2.3871934,7.2619343,8,1.7955848
Female,20,Business,65.741325,9.585134,2.9708595,6.770299,8,2.3014743
Female,20,Business,76.9811,6.985201,3.1663663,6.5511203,6,2.9218516
Female,21,Psychology,50.33765,4.917148,2.225917,6.4549956,8,3.5307097
Male,23,Engineering,60.31842,8.327718,2.867144,8.801235,14,2.1347084
Male,21,Psychology,44.565575,10.943832,2.2823777,5.556778,12,2.8646052
Male,21,Economics,76.49192,10.736867,2.6047237,7.637615,10,2.4721768
Female,19,Business,60.647335,5.1706057,3.2534504,6.117598,5,2.8253753
Female,20,Psychology,62.01402,6.8598356,2.424553,6.5073395,6,2.9908023
Male,23,Mathematics,44.750763,6.885263,2.5497234,8.198625,14,1.7667098
Female,20,Computer Science,56.46972,6.214186,2.6943965,7.120881,10,3.537879
Female,21,Mathematics,40.594467,6.428428,2.2468894,7.315506,13,2.5587618
Female,20,Business,84.59243,4.914494,3.2178707,7.2529497,7,2.959892
Male,22,Mathematics,79.10347,7.2135777,2.4585493,6.5742803,13,2.945256
